subject,with_brown_rules,prompt_type,poem_text
abuse,FALSE,general,"In shadows deep, where silence reigns, 
Voices unheard, burdened with chains. 

A heart once bright, now dimmed with fear, 
Echoes of pain, too loud to bear. 

Behind closed doors, the laughter fades, 
Desperate pleas in the darkness wade. 

Love turned to scars, trust lost in time, 
Whispers of anguish, a haunting rhyme. 

Yet still a spark, a flicker of hope, 
In the cracks of despair, a fragile rope. 

To rise again, to break the night, 
Finding the strength to reclaim the light. 

With every step, the past grows small, 
Healing unfolds, shattering walls. 

Though wounds may linger, resilience is found, 
From ashes of sorrow, a new strength is crowned. 

Hope's gentle flame will guide the way, 
A journey from darkness, to brighter days."
abuse,FALSE,figurative,"In shadows cast where silence grows, 
A heart concealed in whispered throes. 

Behind closed doors, the laughter fades, 
While echoes linger, haunting shades. 

A smile worn like a fragile mask, 
Yet burdens heavy, none would ask. 

Hope flickers dim in the hidden night, 
As tears fall softly, out of sight. 

Each word a blade, an unseen scar, 
The soul a prisoner, caught afar. 

Yet still the dawn will break the dark, 
Resilience stirs, igniting spark. 

With courage found in tender grace, 
To rise anew, reclaim a place. 

For in the depths where shadows creep, 
A glimmer waits, a promise to keep."
abuse,FALSE,specific,"In the dawn's soft light, the day begins, 
Whispers of hope tangled with the night, 

Time's gentle hands, where every heart spins, 
In the dawn's soft light, the day begins. 

Leaves unfurl, then tremble, and they fall, 
Season's embrace holds both joy and fright, 

Echoes of laughter rise, then fade to small, 
Time's gentle hands, where every heart spins. 
Moon's dance above, waxing, waning, we see, 
Life's painted canvas of dark and bright, 

As tides rush in, then slowly set us free, 
In the dawn's soft light, the day begins. 

Cycles unbroken, where loss meets the gain, 
Memories linger, yet patterns take flight, 

Through every sorrow, through each drop of rain, 
Time's gentle hands, where every heart spins. 

So cherish the moments, the highs and the lows, 
In every ending, a promise ignites, 

For with every heartbeat, the story still grows, 
In the dawn's soft light, the day begins, 
Times gentle hands, where every heart spins."
activities,FALSE,general,"In morning light, we stretch and rise, 
Awake to dreams, beneath clear skies. 

Coffee brews, the kettle sings, 
Moments crafted, simple things. 

With laughter shared, we paint the day, 
In vibrant hues, we find our way. 

From trails we hike to oceans wide, 
Nature's embrace, our hearts abide. 

As evening falls, we gather near, 
Stories woven, memories dear. 

Stars above, the moonlit glow, 
In tranquil nights, our spirits flow. 

In every act, both small and grand, 
Life's dance unfolds, hand in hand. 

So let us play, create, and soar, 
In each heartbeat, forevermore."
activities,FALSE,figurative,"In the morning light, we wake, 
Chasing dreams, a path to take. 

With laughter shared and stories spun, 
Each moment's joy, a race begun. 

In meadows green, we dance and play, 
The children's laughter, bright as day. 

With brushes, colors come alive, 
On canvas vast, our spirits thrive. 

Under starlit skies, we gather near, 
Whispers of secrets for all to hear. 

As seasons change, our passions blend, 
In every heart, new chapters bend. 

So hand in hand, we wander wide, 
In each embrace, let love reside."
activities,FALSE,specific,"In an amber glow, they twirl, 
Whirling whispers of the world's 
Rustling, bustling, nature's play, 
Autumn leaves in bright ballet.

Swirling down like golden dreams, 
Carpeted paths in sunlight beams. 
Children laugh, with joy they leap, 
In the crisp of air, secrets keep.

As shadows stretch, the breezes sigh, 
Twirling dancers kiss the sky. 
Each leap and spin, a fleeting grace, 
In the embrace of nature's space. 

Songs of rustle fill the air, 
In every turn, a tale laid bare. 
A cycle spun from branch to ground, 
In colors bold, life's joys abound. 

Underfoot, a quilt unfurls, 
Nature's tapestry, a swirl. 
With every gust, a journey starts, 
As autumn's art warms human hearts."
arts & sciences,FALSE,general,"In canvas whispers, colors ignite, 
Where brush and thought embrace the night. 

The stars in patterns, tales untold, 
Mixing magic with the bold. 

Graphs and theories weave a dream, 
In precise lines, we find the gleam. 

Mathematics hums a steady song, 
Yet art knows where the wild things throng. 

Sculptures rise from the hands of minds, 
While whispers of nature's law unwinds. 

Each equation holds a painter's heart, 
In every stroke, the universe's art. 

Alchemy of reason, love's bright spark, 
Where science dances in the dark. 

Together they sketch the world's vast design, 
In symmetry's grace, the stars align. 

So let us wonder at each grand invention, 
For in art and science blooms true intention."
arts & sciences,FALSE,figurative,"In worlds of mind where colors blend, 
Two paths converge, their journeys wend. 

A brush recalls the stars above, 
While formulas express the heart of love. 

Creativity, a soaring flight, 
Logic grounds us, steady light. 

Notes and numbers dance as one, 
In melodies of thought, beauty's spun. 

The canvas sings of nature's grace, 
Equations whisper in time and space. 

Two stories told in mirrored lines, 
The veneration of what intertwines

With every stroke and careful thought, 
A universe found, a truth we've sought."
arts & sciences,FALSE,specific,"In the painter's brush, both brilliance and sigh, 
Colors swirl, whispering secrets shy. 

Flecks of gold scatter, shadows intertwine, 
Each stroke a heartbeat, each hue a sign. 

Mathematics hums in the rhythm of form, 
In equations composed, where ideas transform. 

The canvas, a vessel, both bold and serene, 
Crafts tales of the seen and the unseen. 

Light paints the space, while shadows conform, 
Nature's duet, a tempest, a storm. 

From the lab to the studio, worlds collide, 
In their fusion, both logic and dreams reside. 

The artist, a alchemist, blending the right, 
In the science of vision, she captures the light. 

And the scientist stands with a palette of stars, 
Mapping the cosmos, erasing the bars. 

In the dance of existence, both arts and the wise, 
Unravel the mystery behind our own eyes."
christianity,FALSE,general,"In shadows cast by ancient trees, 
The whispers of a love divine. 

Through trials faced on bended knees, 
Hope shines bright, a silver line. 

A carpenter with gentle hands, 
Spoke truth that broke the chains of night. 

He walked on seas, and in the sands, 
Resurrection brought new light. 

The cross, a symbol born of pain, 
Yet holds the promise of rebirth. 

In every heart, His grace remains, 
A quiet strength that shakes the earth. 

From humble starts to lofty dreams, 
The faithful gather, voices raise. 

In unity, their spirit gleams, 
A tapestry of praise and grace. 

In love we find our truest call, 
Together bound, we rise as one. 

For in His hands, we stand so tall, 
Eternity with Him begun."
