subject,with_brown,prompt_type,poem_text,,,
abuse,TRUE,general,"

The bruises fade but never quite disappear.
Each yellow stain becomes a different ghost.
Each yellow stain becomes a different ghost,
And haunts the mirror where I used to stand.
And haunts the mirror where I used to stand—
Now shattered glass reflects what love destroyed.
Now shattered glass reflects what love destroyed,
Though tender words once promised to protect.
Though tender words once promised to protect,
They turned to fists that taught me how to hide.
They turned to fists that taught me how to hide
Behind a smile that fooled the world outside.
Behind a smile that fooled the world outside,
I learned that breaking free means breaking open.
I learned that breaking free means breaking open—
The bruises fade but never quite disappear.",,,
abuse,TRUE,figurative,"

The bruises fade but never really leave
The bruises fade but never really leave
His gentle words now make my body grieve
His gentle words now make my body grieve
I learned to read the storms behind his sleeve
I learned to read the storms behind his sleeve
My children ask why mommy doesn't breathe
My children ask why mommy doesn't breathe
I tell them lies are easier to believe
I tell them lies are easier to believe
The mirror shows what I cannot retrieve
The mirror shows what I cannot retrieve
Some nights I dream of learning how to leave
Some nights I dream of learning how to leave
The bruises fade but never really leave",,,
abuse,TRUE,specific,"

The kitchen door still swings without a sound.
The kitchen door still swings without a sound.
What silence holds can break you to the ground.
What silence holds can break you to the ground.
I learned to read the warning in his eyes.
I learned to read the warning in his eyes.
When dinner burned, I practiced telling lies.
When dinner burned, I practiced telling lies.
My mother's bruises bloomed like purple flowers.
My mother's bruises bloomed like purple flowers.
We counted time in minutes, not in hours.
We counted time in minutes, not in hours.
Now thirty years have passed, but I still freeze.
Now thirty years have passed, but I still freeze.
The kitchen door still swings without a sound.",,,
activities,TRUE,general,"

I fold the laundry while the coffee brews cold
I fold my hands in prayer, the morning grows old
I fold my hands in prayer, the morning grows old
My mother's ghost still whispers what I'm told
My mother's ghost still whispers what I'm told
The dishes in the sink, a story unfold
The dishes in the sink, a story unfold
Each plate holds remnants of a love grown bold
Each plate holds remnants of a love grown bold
I sweep the floor where arguments took hold
I sweep the floor where arguments took hold
The broom can't clean what hearts refuse to scold
The broom can't clean what hearts refuse to scold
I fold the laundry while the coffee brews cold",,,
activities,TRUE,figurative,"

The morning calls but I refuse to rise
The morning calls but I refuse to rise 
These hands were made for breaking, not for praise
These hands were made for breaking, not for praise
I choreograph my failures every day
I choreograph my failures every day
The dance floor knows my name but not my face
The dance floor knows my name but not my face
I paint with colors that don't have a name
I paint with colors that don't have a name
My brush strokes spell the words I cannot say
My brush strokes spell the words I cannot say
I run in circles, calling it a race
I run in circles, calling it a race
The finish line keeps moving like my shame
The morning calls but I refuse to rise",,,
activities,TRUE,specific,"

The echoes of our sneakers on concrete
The echoes of our sneakers on concrete
Speak louder than the sermons down the street
Speak louder than the sermons down the street
Where mothers pray for sons who won't come home
Where mothers pray for sons who won't come home
This cracked court is the church we've always known
This cracked court is the church we've always known
Each dribble sounds like freedom being born
Each dribble sounds like freedom being born
Between the chainlink fence and rising dawn
Between the chainlink fence and rising dawn
We practiced grace through layups, sweat, and pain
We practiced grace through layups, sweat, and pain
Now silence fills the court—just rust and rain
The echoes of our sneakers on concrete",,,
arts & sciences,TRUE,general,"

In the lab, I dissect what makes the heart sing.
In the lab, I dissect what makes the heart sing.
Each formula fails to capture love's wild swing.
Each formula fails to capture love's wild swing.
The microscope reveals what naked eyes can't see.
The microscope reveals what naked eyes can't see.
But poetry shows truths that science can't free.
But poetry shows truths that science can't free.
I measure wavelengths of your laughter's bright sound.
I measure wavelengths of your laughter's bright sound.
Yet metaphors hold what equations can't ground.
Yet metaphors hold what equations can't ground.
The artist and chemist both seek to understand.
The artist and chemist both seek to understand.
In the lab, I dissect what makes the heart sing.",,,
arts & sciences,TRUE,figurative,"

The heart measures what numbers cannot hold
The heart measures what numbers cannot hold
In laboratories, poetry grows cold
In laboratories, poetry grows cold
Yet equations dance when passion takes control
Yet equations dance when passion takes control
Through microscopes, we glimpse the artist's soul
Through microscopes, we glimpse the artist's soul
Where logic ends, imagination's goal
Where logic ends, imagination's goal
Begins with brush strokes mapping what we know
Begins with brush strokes mapping what we know
Two languages that help each other grow
Two languages that help each other grow
The heart measures what numbers cannot hold",,,
arts & sciences,TRUE,specific,"

The telescope reveals what naked eyes refuse to see,
The telescope reveals what naked eyes refuse to see,
Science strips away the comfortable lies we need,
Science strips away the comfortable lies we need,
Numbers cannot hold the weight of wonder that I feel,
Numbers cannot hold the weight of wonder that I feel,
Art gives shape to all the truths equations cannot heal,
Art gives shape to all the truths equations cannot heal,
Standing here beneath the dome where starlight meets my doubt,
Standing here beneath the dome where starlight meets my doubt,
I measure both the distance and the need to cry it out,
I measure both the distance and the need to cry it out,
The cosmos sings in frequencies my instruments detect,
The cosmos sings in frequencies my instruments detect,
But poetry must translate what the heart will not reject,
The telescope reveals what naked eyes refuse to see.",,,
christianity,TRUE,general,"

The cross I wear feels heavier each Sunday
The cross I wear feels heavier each Sunday
This burden grows with every whispered prayer
This burden grows with every whispered prayer
I kneel before what I no longer see
I kneel before what I no longer see
Faith fractures like communion bread in hand
Faith fractures like communion bread in hand
The hymns sound hollow in my doubting throat
The hymns sound hollow in my doubting throat
I search for God in stained glass and silence
I search for God in stained glass and silence
My mother's prayers still echo in these walls
My mother's prayers still echo in these walls
I carry love wrapped tight in sacred fear
The cross I wear feels heavier each Sunday",,,
