poem_title,poem_text,author,form
“Where did the handsome beloved go?”,"Where did the handsome beloved go?
I wonder, where did that tall, shapely cypress tree go?

He spread his light among us like a candle.
Where did he go? So strange, where did he go without me?

All day long my heart trembles like a leaf.
All alone at midnight, where did that beloved go?

Go to the road, and ask any passing traveler — 
That soul-stirring companion, where did he go?

Go to the garden, and ask the gardener — 
That tall, shapely rose stem, where did he go?

Go to the rooftop, and ask the watchman — 
That unique sultan, where did he go?

Like a madman, I search in the meadows!
That deer in the meadows, where did he go?

My tearful eyes overflow like a river — 
That pearl in the vast sea, where did he go?

All night long, I implore both moon and Venus — 
That lovely face, like a moon, where did he go?

If he is mine, why is he with others?
Since he’s not here, to what “there” did he go?

If his heart and soul are joined with God,
And he left this realm of earth and water, where did he go?

Tell me clearly, Shams of Tabriz,
Of whom it is said, “The sun never dies” — where did he go?
 
 Translated from the Persian",Jalal al-Din Rumi,ghazal
Sonnet 131 [I’d sing of Love in such a novel fashion],"I’d sing of Love in such a novel fashion
that from her cruel side I would draw by force
a thousand sighs a day, kindling again
in her cold mind a thousand high desires;

I’d see her lovely face transform quite often
her eyes grow wet and more compassionate,
like one who feels regret, when it’s too late,
for causing someone’s suffering by mistake;

And I’d see scarlet roses in the snows,
tossed by the breeze, discover ivory
that turns to marble those who see it near them;

All this I’d do because I do not mind 
my discontentment in this one short life,
but glory rather in my later fame.",Petrarch,sonnet
"Sonnet 102 [If no love is, O God, what fele I so?] ","If no love is, O God, what fele I so?
    And if love is, what thing and which is he?
    If love be good, from whennes cometh my woo?
    If it be wikke, a wonder thynketh me,
    When every torment and adversite
    That cometh of hym, may to me savory thinke,
    For ay thurst I, the more that ich it drynke.
And if that at myn owen lust I brenne,
    From whennes cometh my waillynge and my pleynte?
    If harm agree me, whereto pleyne I thenne?
    I noot, ne whi unwery that I feynte.
    O quike deth, O swete harm so queynte,
    How may of the in me swich quantite,
    But if that I consente that it be?
And if that I consente, I wrongfully
    Compleyne, iwis.   Thus possed to and fro,
    Al sterelees withinne a boot am I
    Amydde the see, betwixen wyndes two,
    That in contrarie stonden evere mo.
    Allas! what is this wondre maladie?
    For hete of cold, for cold of hete, I dye.",Petrarch,sonnet
Sonnet 101 [Ways apt and new to sing of love I’d find],"Ways apt and new to sing of love I’d find,
Forcing from her hard heart full many a sigh,
And re-enkindle in her frozen mind
Desires a thousand, passionate and high;
O’er her fair face would see each swift change pass,
See her fond eyes at length where pity reigns,
As one who sorrows when too late, alas!
For his own error and another’s pains;
See the fresh roses edging that fair snow
Move with her breath, that ivory descried,
Which turns to marble him who sees it near;
See all, for which in this brief life below
Myself I weary not but rather pride
That Heaven for later times has kept me here.",Petrarch,sonnet
"Whoso list to hunt, I know where is an hind ","Whoso list to hunt, I know where is an hind,
But as for me, hélas, I may no more.
The vain travail hath wearied me so sore,
I am of them that farthest cometh behind.
Yet may I by no means my wearied mind
Draw from the deer, but as she fleeth afore
Fainting I follow. I leave off therefore,
Sithens in a net I seek to hold the wind.
Who list her hunt, I put him out of doubt,
As well as I may spend his time in vain.
And graven with diamonds in letters plain
There is written, her fair neck round about:
Noli me tangere, for Caesar’s I am,
And wild for to hold, though I seem tame.",Thomas Wyatt,sonnet
Avising the Bright Beams,"Avising the bright beams of these fair eyes
Where he is that mine oft moisteth and washeth,
The wearied mind straight from the heart departeth
For to rest in his worldly paradise
And find the sweet bitter under this guise.
What webs he hath wrought well he perceiveth
Whereby with himself on love he plaineth
That spurreth with fire and bridleth with ice.
Thus is it in such extremity brought,
In frozen thought, now and now it standeth in flame.
Twixt misery and wealth, twixt earnest and game,
But few glad, and many diverse thought
With sore repentance of his hardiness.
Of such a root cometh fruit fruitless.",Sir Thomas Wyatt,sonnet
Farewell Love and all thy Laws for ever,"Farewell love and all thy laws forever;
Thy baited hooks shall tangle me no more.
Senec and Plato call me from thy lore
To perfect wealth, my wit for to endeavour.
In blind error when I did persever,
Thy sharp repulse, that pricketh aye so sore,
Hath taught me to set in trifles no store
And scape forth, since liberty is lever.
Therefore farewell; go trouble younger hearts
And in me claim no more authority.
With idle youth go use thy property
And thereon spend thy many brittle darts,
For hitherto though I have lost all my time,
Me lusteth no lenger rotten boughs to climb.",Sir Thomas Wyatt,sonnet
I Find no Peace,"I find no peace, and all my war is done.
I fear and hope. I burn and freeze like ice.
I fly above the wind, yet can I not arise;
And nought I have, and all the world I seize on.
That loseth nor locketh holdeth me in prison
And holdeth me not—yet can I scape no wise—
Nor letteth me live nor die at my device,
And yet of death it giveth me occasion.
Without eyen I see, and without tongue I plain.
I desire to perish, and yet I ask health.
I love another, and thus I hate myself.
I feed me in sorrow and laugh in all my pain;
Likewise displeaseth me both life and death,
And my delight is causer of this strife.",Sir Thomas Wyatt,sonnet
The Long Love that in my Thought doth Harbour,"The longë love that in my thought doth harbour 
And in mine hert doth keep his residence, 
Into my face presseth with bold pretence 
And therein campeth, spreading his banner. 
She that me learneth to love and suffer 
And will that my trust and lustës negligence 
Be rayned by reason, shame, and reverence, 
With his hardiness taketh displeasure. 
Wherewithall unto the hert's forest he fleeth, 
Leaving his enterprise with pain and cry, 
And there him hideth and not appeareth. 
What may I do when my master feareth 
But in the field with him to live and die? 
For good is the life ending faithfully.",Sir Thomas Wyatt,sonnet
"My Galley, Charged with Forgetfulness","My galley, chargèd with forgetfulness,
Thorough sharp seas in winter nights doth pass
'Tween rock and rock; and eke mine en'my, alas,
That is my lord, steereth with cruelness;
And every owre a thought in readiness,
As though that death were light in such a case.
An endless wind doth tear the sail apace
Of forced sighs and trusty fearfulness.
A rain of tears, a cloud of dark disdain,
Hath done the weared cords great hinderance;
Wreathèd with error and eke with ignorance.
The stars be hid that led me to this pain;
Drownèd is Reason that should me comfort,
And I remain despairing of the port.",Sir Thomas Wyatt,sonnet
