poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence
[Weaned from life and flown away],"Weaned from life and flown away
In the morning of thy day, 
Bound in everlasting gloom, 
Buried in a hapless tomb.

Yet upon thy bended knee 
Thank the power that banished thee; 
Chain and bar and dungeon wall 
Saved thee from a deadlier thrall.

Thank the power that made thee part 
Ere that parting broke thy heart. 
Wildly rushed the mountain spring 
From its source of fern and ling; 
How invincible its roar, 
Had its waters worn the shore.",Emily Brontë,sonnet,Sonnet,"This poem is a sonnet because it contains 14 lines, which is the defining characteristic of a sonnet. The poem follows a consistent rhyme scheme with couplets (day/day, gloom/tomb, thee/thee, wall/thrall, etc.) and maintains a regular meter throughout. The structure presents a coherent argument or meditation on death and salvation, with the first eight lines establishing the situation of someone who has died young, and the final six lines offering a philosophical reflection on how this early death may have been a mercy. This volta or turn in thought is characteristic of sonnet form, even though the rhyme scheme is not the traditional Shakespearean or Petrarchan pattern.",Length,0.85
Of Love: A Sonnet,"How love came in I do not know,
Whether by the eye, or ear, or no;
Or whether with the soul it came
(At first) infused with the same;
Whether in part ’tis here or there,
Or, like the soul, whole everywhere,
This troubles me: but I as well
As any other this can tell:
That when from hence she does depart
The outlet then is from the heart.",Robert Herrick,sonnet,Sonnet,"This poem is a sonnet because it contains exactly 10 lines written in iambic tetrameter with a consistent AABBCCDDEE rhyme scheme. While it doesn't follow the traditional 14-line structure of Shakespearean or Petrarchan sonnets, it represents a shorter sonnet form that maintains the essential characteristics of unified thematic development, structured argumentation (the speaker contemplates how love enters and exits), and a concluding couplet that provides resolution. The poem's tight formal structure, consistent meter, and philosophical meditation on a single theme align with sonnet conventions, even in this compressed format.",Structure,0.85
"Sonnet XLIV [For Thee the Sun Doth Daily Rise, and Set] ","For thee the sun doth daily rise, and set 
Behind the curtain of the hills of sleep,  
And my soul, passing through the nether deep,  
Broods on thy love, and never can forget.  
For thee the garlands of the wood are wet,  
For thee the daisies up the meadow’s sweep 
Stir in the sidelong light, and for thee weep 
The drooping ferns above the violet.  
For thee the labour of my studious ease 
I ply with hope, for thee all pleasures please,  
Thy sweetness doth the bread of sorrow leaven;  
And from thy noble lips and heart of gold 
I drink the comfort of the faiths of old,  
Any thy perfection is my proof of heaven.",George Santayana,sonnet,Sonnet,"This poem is a sonnet because it contains exactly 14 lines written in iambic pentameter with a clear rhyme scheme. The structure follows the Petrarchan (Italian) sonnet form with an octave (first 8 lines) that establishes the theme of devotion using the rhyme scheme ABBAABBA, followed by a sestet (final 6 lines) with the rhyme scheme CDCDCD. The volta, or turn, occurs between lines 8 and 9, shifting from describing natural imagery devoted to the beloved to the speaker's personal devotion and spiritual elevation. The consistent meter, formal rhyme pattern, thematic development, and 14-line structure are all hallmarks of the sonnet form.",Structure,0.95
That you were once unkind befriends me now (Sonnet 120),"That you were once unkind befriends me now,
And for that sorrow which I then did feel
Needs must I under my transgression bow,
Unless my nerves were brass or hammer’d steel.
For if you were by my unkindness shaken
As I by yours, you’ve pass’d a hell of time,
And I, a tyrant, have no leisure taken
To weigh how once I suffer’d in your crime.
O, that our night of woe might have remember’d
My deepest sense, how hard true sorrow hits,
And soon to you, as you to me, then tender’d
The humble salve which wounded bosoms fits!
    But that your trespass now becomes a fee;
    Mine ransoms yours, and yours must ransom me.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the classic Shakespearean sonnet structure with 14 lines written in iambic pentameter. The rhyme scheme follows the traditional ABAB CDCD EFEF GG pattern, with three quatrains developing the argument about mutual unkindness and forgiveness, followed by a concluding couplet that provides resolution. The volta occurs around line 9 with ""O, that our night of woe,"" shifting from describing past hurts to imagining how mutual understanding might have helped. The language, meter, and thematic content are all consistent with Shakespeare's sonnet style.",Structure,0.98
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the classic Shakespearean sonnet structure with exactly 14 lines written in iambic pentameter. It has the traditional ABAB CDCD EFEF GG rhyme scheme (day/May, temperate/date, shines/declines, dimm'd/untrimm'd, fade/shade, ow'st/grow'st, see/thee). The poem is organized into three quatrains that develop the central metaphor comparing the beloved to a summer's day, followed by a concluding couplet that provides resolution. The volta occurs around line 9 with ""But thy eternal summer,"" shifting from describing summer's imperfections to proclaiming the beloved's eternal beauty through poetry. This is Shakespeare's Sonnet 18, one of the most famous examples of the English sonnet form.",Structure,1.0
"Sonnets from the Portuguese 20: Beloved, my Beloved, when I think","Beloved, my Beloved, when I think 
That thou wast in the world a year ago, 
What time I sate alone here in the snow 
And saw no footprint, heard the silence sink 
No moment at thy voice ... but, link by link, 
Went counting all my chains, as if that so 
They never could fall off at any blow 
Struck by thy possible hand ... why, thus I drink 
Of life's great cup of wonder! Wonderful, 
Never to feel thee thrill the day or night 
With personal act or speech,—nor ever cull 
Some prescience of thee with the blossoms white 
Thou sawest growing! Atheists are as dull, 
Who cannot guess God's presence out of sight.",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it contains exactly 14 lines written in iambic pentameter with a clear rhyme scheme. The poem follows the Petrarchan (Italian) sonnet structure with an octave (first 8 lines) that presents a problem or situation - the speaker reflecting on their beloved's absence a year ago - followed by a sestet (final 6 lines) that provides resolution or commentary. The rhyme scheme appears to be ABBAABBA for the octave and CDECDE for the sestet, which is characteristic of the Petrarchan form. The volta (turn) occurs around line 9 with ""Of life's great cup of wonder!"" marking the shift from describing past loneliness to philosophical reflection. The language is formal and elevated, typical of traditional sonnets, and it explores the classic sonnet theme of love and spiritual connection.",Structure,0.95
Say that thou didst forsake me for some fault (Sonnet 89),"Say that thou didst forsake me for some fault,
And I will comment upon that offence;
Speak of my lameness, and I straight will halt,
Against thy reasons making no defence.
Thou canst not, love, disgrace me half so ill,
To set a form upon desired change,
As I’ll myself disgrace: knowing thy will,
I will acquaintance strangle and look strange,
Be absent from thy walks, and in my tongue
Thy sweet beloved name no more shall dwell,
Lest I, too much profane, should do it wrong
And haply of our old acquaintance tell.
    For thee against myself I’ll vow debate,
    For I must ne’er love him whom thou dost hate.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the classic structure of 14 lines written in iambic pentameter with a clear rhyme scheme. The poem consists of three quatrains (four-line stanzas) followed by a final couplet (two-line stanza), which is characteristic of a Shakespearean or English sonnet. The rhyme scheme follows the pattern ABAB CDCD EFEF GG, where each quatrain introduces new rhymes and the final couplet provides a concluding thought or resolution. The meter is consistently iambic pentameter throughout, and the volta (turn) occurs in the final couplet where the speaker makes a definitive vow. The language and style are also consistent with Renaissance sonnet tradition, exploring themes of love, self-deprecation, and devotion.",Structure,1.0
On the Extinction of the Venetian Republic,"Once did She hold the gorgeous east in fee;
And was the safeguard of the west: the worth
Of Venice did not fall below her birth,
Venice, the eldest Child of Liberty.
She was a maiden City, bright and free;
No guile seduced, no force could violate;
And, when she took unto herself a Mate,
She must espouse the everlasting Sea.
And what if she had seen those glories fade,
Those titles vanish, and that strength decay;
Yet shall some tribute of regret be paid
When her long life hath reached its final day:
Men are we, and must grieve when even the Shade
Of that which once was great is passed away.",William Wordsworth,sonnet,Sonnet,"This poem is a sonnet because it follows the classic 14-line structure with a clear rhyme scheme. The poem is written in iambic pentameter and follows the Petrarchan (Italian) sonnet form with an ABBA ABBA octave (first 8 lines) followed by a CDECDE sestet (final 6 lines). The octave presents the glory and power of Venice, while the sestet introduces the ""volta"" or turn with ""And what if she had seen those glories fade,"" shifting to reflection on Venice's decline and the appropriate response of remembrance. The formal structure, meter, rhyme scheme, and thematic development all clearly identify this as a sonnet.",Structure,0.98
Sonnet VIII,"Mondego! thou, whose waters cold and clear 
Gird those green banks, where fancy fain would stay, 
Fondly to muse on that departed day 
When Hope was kind and Friendship seem’d sincere; 
—Ere I had purchas’d knowledge with a tear.
—Mondego! though I bend my pilgrim way 
To other shores, where other fountains stray,
And other rivers roll their proud career, 
Still—nor shall time, nor grief, nor stars severe, 
Nor widening distance e’er prevail in aught 
To make thee less to this sad bosom dear; 
And Memory oft, by old Affection taught, 
Shall lightly speed upon the plumes of thought, 
To bathe amongst thy waters cold and clear!

 

 

 

Doces e claras aguas do Mondego, 
Doce repouso de minha lembrança, 
Onde a comprida e pérfida esperança 
Longo tempo apoz si me trouxe cego.
De vós me aparto, si; porém não nego, 
Que inda a longa memoria, que me alcança. 
Me não deixa de vós fazer mudança. 
Mas quanto mais me alongo, mais me achego.
Bem poderá a Fortuna este instrumento 
Da alma levar por terra nova e extranha, 
Oíferecido ao mar remoto, ao vento.
Mas a alma, que de cá vos acompanha. 
Nas azas do ligeiro pensamento 
Para vós, aguas, vôa, e em vós se banha.",Luís de Camões,sonnet,Sonnet,"This poem is a sonnet because it consists of exactly 14 lines with a clear rhyme scheme. The English version follows an ABAB ABAB CDCDCD pattern, while the Portuguese version follows ABAB ABAB CDECDE, both consistent with sonnet variations. The poem exhibits the characteristic structure of a sonnet with an octave (first 8 lines) that establishes the theme of departure from the beloved river Mondego, followed by a sestet (final 6 lines) that develops the resolution - that memory and thought will allow the speaker to return spiritually to these waters. The iambic pentameter in the English version and the hendecasyllabic meter in the Portuguese are typical of sonnet form. The poem also demonstrates the sonnet's traditional ""turn"" or volta around line 9 with ""Still—"" marking the shift from departure to eternal connection.",Structure,0.95
Unstable Dream,"Unstable dream, according to the place,
Be steadfast once, or else at least be true.
By tasted sweetness make me not to rue
The sudden loss of thy false feignèd grace.
By good respect in such a dangerous case
Thou broughtest not her into this tossing mew
But madest my sprite live, my care to renew,
My body in tempest her succour to embrace.
The body dead, the sprite had his desire,
Painless was th'one, th'other in delight.
Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain.",Sir Thomas Wyatt,sonnet,Sonnet,"This poem is a sonnet because it follows the classic 14-line structure with a clear rhyme scheme. The poem consists of three quatrains (4-line stanzas) followed by a final couplet (2-line stanza), which is characteristic of the Shakespearean/English sonnet form. The rhyme scheme appears to be ABAB CDCD EFEF GG, with rhymes like ""place/grace,"" ""true/mew/renew,"" ""case/embrace,"" ""desire/fire,"" ""right/delight,"" and ""remain/pain."" The poem also demonstrates the typical thematic structure of a sonnet, with the first twelve lines developing a complex meditation on dreams and desire, and the final couplet providing a concluding reflection that shifts the tone to emphasize the painful reality that emerges from false dreams.",Structure,0.95
