poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence
[Weaned from life and flown away],"Weaned from life and flown away
In the morning of thy day, 
Bound in everlasting gloom, 
Buried in a hapless tomb.

Yet upon thy bended knee 
Thank the power that banished thee; 
Chain and bar and dungeon wall 
Saved thee from a deadlier thrall.

Thank the power that made thee part 
Ere that parting broke thy heart. 
Wildly rushed the mountain spring 
From its source of fern and ling; 
How invincible its roar, 
Had its waters worn the shore.",Emily Brontë,sonnet,,,,
Of Love: A Sonnet,"How love came in I do not know,
Whether by the eye, or ear, or no;
Or whether with the soul it came
(At first) infused with the same;
Whether in part ’tis here or there,
Or, like the soul, whole everywhere,
This troubles me: but I as well
As any other this can tell:
That when from hence she does depart
The outlet then is from the heart.",Robert Herrick,sonnet,Sonnet,"This poem is a sonnet because it adheres to a concise lyrical form that debates or meditates on a single theme, which in this case is the mysterious nature of love and its origins. While it does not strictly follow the 14-line structure associated with a traditional sonnet, it shares the contemplative tone and the exploration of a philosophical idea often found in sonnets. This compact meditation aligns more with the sonnet tradition rather than the other forms listed.",Contemplation,0.68
"Sonnet XLIV [For Thee the Sun Doth Daily Rise, and Set] ","For thee the sun doth daily rise, and set 
Behind the curtain of the hills of sleep,  
And my soul, passing through the nether deep,  
Broods on thy love, and never can forget.  
For thee the garlands of the wood are wet,  
For thee the daisies up the meadow’s sweep 
Stir in the sidelong light, and for thee weep 
The drooping ferns above the violet.  
For thee the labour of my studious ease 
I ply with hope, for thee all pleasures please,  
Thy sweetness doth the bread of sorrow leaven;  
And from thy noble lips and heart of gold 
I drink the comfort of the faiths of old,  
Any thy perfection is my proof of heaven.",George Santayana,sonnet,,,,
That you were once unkind befriends me now (Sonnet 120),"That you were once unkind befriends me now,
And for that sorrow which I then did feel
Needs must I under my transgression bow,
Unless my nerves were brass or hammer’d steel.
For if you were by my unkindness shaken
As I by yours, you’ve pass’d a hell of time,
And I, a tyrant, have no leisure taken
To weigh how once I suffer’d in your crime.
O, that our night of woe might have remember’d
My deepest sense, how hard true sorrow hits,
And soon to you, as you to me, then tender’d
The humble salve which wounded bosoms fits!
    But that your trespass now becomes a fee;
    Mine ransoms yours, and yours must ransom me.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of 14 lines written in iambic pentameter, with a clear rhyme scheme (ABABCDCDEFEFGG) that is characteristic of an English/Shakespearean sonnet. It also reflects the thematic and structural elements of a sonnet, including the presentation of a problem or conflict in the first part of the poem and a resolution or turn (volta) near the conclusion, particularly in the final rhyming couplet.",Structure,1.0
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it adheres to a traditional Shakespearean sonnet structure, consisting of 14 lines in iambic pentameter with a clear rhyme scheme of ABABCDCDEFEFGG. The poem also has a volta, or thematic shift, occurring after the eighth line (at the ninth line), which is a characteristic feature of sonnets. Moreover, the subject of love and the immortalizing power of poetry reflects themes commonly explored in sonnet forms.",Structure,1
"Sonnets from the Portuguese 20: Beloved, my Beloved, when I think","Beloved, my Beloved, when I think 
That thou wast in the world a year ago, 
What time I sate alone here in the snow 
And saw no footprint, heard the silence sink 
No moment at thy voice ... but, link by link, 
Went counting all my chains, as if that so 
They never could fall off at any blow 
Struck by thy possible hand ... why, thus I drink 
Of life's great cup of wonder! Wonderful, 
Never to feel thee thrill the day or night 
With personal act or speech,—nor ever cull 
Some prescience of thee with the blossoms white 
Thou sawest growing! Atheists are as dull, 
Who cannot guess God's presence out of sight.",Elizabeth Barrett Browning,sonnet,,,,
Say that thou didst forsake me for some fault (Sonnet 89),"Say that thou didst forsake me for some fault,
And I will comment upon that offence;
Speak of my lameness, and I straight will halt,
Against thy reasons making no defence.
Thou canst not, love, disgrace me half so ill,
To set a form upon desired change,
As I’ll myself disgrace: knowing thy will,
I will acquaintance strangle and look strange,
Be absent from thy walks, and in my tongue
Thy sweet beloved name no more shall dwell,
Lest I, too much profane, should do it wrong
And haply of our old acquaintance tell.
    For thee against myself I’ll vow debate,
    For I must ne’er love him whom thou dost hate.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter with a clear rhyme scheme (ABABCDCDEFEFGG). It follows the structure of a Shakespearean sonnet, including the final rhymed couplet that often provides resolution or commentary on the preceding lines. The subject matter also aligns with common themes of sonnets, such as love, self-reflection, and emotional conflict.",Structure,0.99
On the Extinction of the Venetian Republic,"Once did She hold the gorgeous east in fee;
And was the safeguard of the west: the worth
Of Venice did not fall below her birth,
Venice, the eldest Child of Liberty.
She was a maiden City, bright and free;
No guile seduced, no force could violate;
And, when she took unto herself a Mate,
She must espouse the everlasting Sea.
And what if she had seen those glories fade,
Those titles vanish, and that strength decay;
Yet shall some tribute of regret be paid
When her long life hath reached its final day:
Men are we, and must grieve when even the Shade
Of that which once was great is passed away.",William Wordsworth,sonnet,Sonnet,"This poem is a sonnet because it has 14 lines, written in iambic pentameter, and follows a rhyme scheme reminiscent of a Petrarchan or modified sonnet (ABBAABBACDCDCD). The thematic elements, including a focus on decay, loss, and reflection, align well with the meditative and elegiac aspects typically found in sonnets. Additionally, its turn, or ""volta,"" occurs at the ninth line (""And what if she had seen those glories fade""), a key feature of traditional sonnet structure.",Structure,0.97
Sonnet VIII,"Mondego! thou, whose waters cold and clear 
Gird those green banks, where fancy fain would stay, 
Fondly to muse on that departed day 
When Hope was kind and Friendship seem’d sincere; 
—Ere I had purchas’d knowledge with a tear.
—Mondego! though I bend my pilgrim way 
To other shores, where other fountains stray,
And other rivers roll their proud career, 
Still—nor shall time, nor grief, nor stars severe, 
Nor widening distance e’er prevail in aught 
To make thee less to this sad bosom dear; 
And Memory oft, by old Affection taught, 
Shall lightly speed upon the plumes of thought, 
To bathe amongst thy waters cold and clear!

 

 

 

Doces e claras aguas do Mondego, 
Doce repouso de minha lembrança, 
Onde a comprida e pérfida esperança 
Longo tempo apoz si me trouxe cego.
De vós me aparto, si; porém não nego, 
Que inda a longa memoria, que me alcança. 
Me não deixa de vós fazer mudança. 
Mas quanto mais me alongo, mais me achego.
Bem poderá a Fortuna este instrumento 
Da alma levar por terra nova e extranha, 
Oíferecido ao mar remoto, ao vento.
Mas a alma, que de cá vos acompanha. 
Nas azas do ligeiro pensamento 
Para vós, aguas, vôa, e em vós se banha.",Luís de Camões,sonnet,Sonnet,"This poem is a sonnet because it conforms to the structural and thematic elements associated with the form. Both stanzas, the English and the Portuguese, are structured with 14 lines, a hallmark of sonnets. The poem's rhyme scheme is intricate and systematic, consistent with traditional sonnet forms, although the exact pattern aligns with a more free adaptation rather than rigid Shakespearean or Petrarchan rules. Additionally, the reflective, emotional meditation on nature, memory, and loss is a thematic hallmark of sonnets. The use of iambic pentameter in the English version and its analogous metric pattern in the Portuguese stanza further reinforce this classification.",Structure,0.96
Unstable Dream,"Unstable dream, according to the place,
Be steadfast once, or else at least be true.
By tasted sweetness make me not to rue
The sudden loss of thy false feignèd grace.
By good respect in such a dangerous case
Thou broughtest not her into this tossing mew
But madest my sprite live, my care to renew,
My body in tempest her succour to embrace.
The body dead, the sprite had his desire,
Painless was th'one, th'other in delight.
Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain.",Sir Thomas Wyatt,sonnet,,,,
