poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence
[Weaned from life and flown away],"Weaned from life and flown away
In the morning of thy day, 
Bound in everlasting gloom, 
Buried in a hapless tomb.

Yet upon thy bended knee 
Thank the power that banished thee; 
Chain and bar and dungeon wall 
Saved thee from a deadlier thrall.

Thank the power that made thee part 
Ere that parting broke thy heart. 
Wildly rushed the mountain spring 
From its source of fern and ling; 
How invincible its roar, 
Had its waters worn the shore.",Emily Brontë,sonnet,Blues poem,"This poem reflects the themes commonly found in blues poetry, such as loss, struggle, and longing, alongside a repetitive structure that echoes the musicality of the blues genre. The expression of deep emotions and the contemplative nature of the lines also align with the blues tradition of storytelling through poignant imagery and a rhythmic flow, even though it does not strictly follow a repetitive refrain as traditional blues might.",Emotion,0.80
Of Love: A Sonnet,"How love came in I do not know,
Whether by the eye, or ear, or no;
Or whether with the soul it came
(At first) infused with the same;
Whether in part ’tis here or there,
Or, like the soul, whole everywhere,
This troubles me: but I as well
As any other this can tell:
That when from hence she does depart
The outlet then is from the heart.",Robert Herrick,sonnet,Ghazal,"This poem resembles a ghazal because it explores a central theme of love and longing, which is a common theme in this poetic form. The lines exhibit a reflective tone, and there is a connection between the couplets, as well as the use of a repetitive structure that is characteristic of ghazals. Even though it doesn't strictly adhere to the traditional rhyme scheme of ghazals, the essence of longing and the inquiry into the nature of love resonate with the emotional depth found in this form.",Theme,0.85
"Sonnet XLIV [For Thee the Sun Doth Daily Rise, and Set] ","For thee the sun doth daily rise, and set 
Behind the curtain of the hills of sleep,  
And my soul, passing through the nether deep,  
Broods on thy love, and never can forget.  
For thee the garlands of the wood are wet,  
For thee the daisies up the meadow’s sweep 
Stir in the sidelong light, and for thee weep 
The drooping ferns above the violet.  
For thee the labour of my studious ease 
I ply with hope, for thee all pleasures please,  
Thy sweetness doth the bread of sorrow leaven;  
And from thy noble lips and heart of gold 
I drink the comfort of the faiths of old,  
Any thy perfection is my proof of heaven.",George Santayana,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, following a specific rhyme scheme that is characteristic of sonnets, specifically the Petrarchan form. The thematic elements of love and devotion are explored throughout the poem, which is typical of sonnet poetry. The use of images relating to nature and reflection also aligns with traditional sonnet conventions.",Structure,0.95
That you were once unkind befriends me now (Sonnet 120),"That you were once unkind befriends me now,
And for that sorrow which I then did feel
Needs must I under my transgression bow,
Unless my nerves were brass or hammer’d steel.
For if you were by my unkindness shaken
As I by yours, you’ve pass’d a hell of time,
And I, a tyrant, have no leisure taken
To weigh how once I suffer’d in your crime.
O, that our night of woe might have remember’d
My deepest sense, how hard true sorrow hits,
And soon to you, as you to me, then tender’d
The humble salve which wounded bosoms fits!
    But that your trespass now becomes a fee;
    Mine ransoms yours, and yours must ransom me.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the structure typical of a Shakespearean (or English) sonnet, which consists of 14 lines with a specific rhyme scheme (ABABCDCDEFEFGG). The themes of love, remorse, and the complexities of emotional relationships are also characteristic of sonnets. The use of iambic pentameter throughout the poem further supports its classification as a sonnet.",Structure,0.95
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it follows the traditional structure of a Shakespearean sonnet, consisting of 14 lines written in iambic pentameter. It has a clear rhyme scheme of ABABCDCDEFEFGG, which is characteristic of questo type of sonnet. Additionally, the poem presents a central theme or idea—comparing the subject to a summer's day and reflecting on beauty and immortality—which is typical for sonnets.",Structure,0.95
"Sonnets from the Portuguese 20: Beloved, my Beloved, when I think","Beloved, my Beloved, when I think 
That thou wast in the world a year ago, 
What time I sate alone here in the snow 
And saw no footprint, heard the silence sink 
No moment at thy voice ... but, link by link, 
Went counting all my chains, as if that so 
They never could fall off at any blow 
Struck by thy possible hand ... why, thus I drink 
Of life's great cup of wonder! Wonderful, 
Never to feel thee thrill the day or night 
With personal act or speech,—nor ever cull 
Some prescience of thee with the blossoms white 
Thou sawest growing! Atheists are as dull, 
Who cannot guess God's presence out of sight.",Elizabeth Barrett Browning,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, employs a specific rhyme scheme that reflects the traditional structure of a sonnet, and explores a deep personal theme—love and absence—typical of sonnets. The poem features iambic pentameter, which is characteristic of sonnet form, particularly in the English (Shakespearean) tradition. Moreover, the poem culminates in a reflective conclusion, a common trait of sonnets, indicating a resolution or insight into the speaker's feelings.",Structure,0.95
Say that thou didst forsake me for some fault (Sonnet 89),"Say that thou didst forsake me for some fault,
And I will comment upon that offence;
Speak of my lameness, and I straight will halt,
Against thy reasons making no defence.
Thou canst not, love, disgrace me half so ill,
To set a form upon desired change,
As I’ll myself disgrace: knowing thy will,
I will acquaintance strangle and look strange,
Be absent from thy walks, and in my tongue
Thy sweet beloved name no more shall dwell,
Lest I, too much profane, should do it wrong
And haply of our old acquaintance tell.
    For thee against myself I’ll vow debate,
    For I must ne’er love him whom thou dost hate.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, which is characteristic of the English sonnet form. It also follows a specific thematic development typical of sonnets, reflecting on themes of love, betrayal, and the speaker's internal conflict in response to their beloved's perceived rejection. The rhyme scheme fits the structure of either a Shakespearean or Petrarchan sonnet.",Structure,0.95
On the Extinction of the Venetian Republic,"Once did She hold the gorgeous east in fee;
And was the safeguard of the west: the worth
Of Venice did not fall below her birth,
Venice, the eldest Child of Liberty.
She was a maiden City, bright and free;
No guile seduced, no force could violate;
And, when she took unto herself a Mate,
She must espouse the everlasting Sea.
And what if she had seen those glories fade,
Those titles vanish, and that strength decay;
Yet shall some tribute of regret be paid
When her long life hath reached its final day:
Men are we, and must grieve when even the Shade
Of that which once was great is passed away.",William Wordsworth,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines written in iambic pentameter, and it follows a specific rhyme scheme characteristic of sonnets (ABABCDCDEFEFGG). The poem explores a theme of nostalgia and loss, which is commonly found in sonnets, especially those reflecting on time and memory. The structure and thematic focus indicate that it adheres to the traditional sonnet form.",Structure,0.95
Sonnet VIII,"Mondego! thou, whose waters cold and clear 
Gird those green banks, where fancy fain would stay, 
Fondly to muse on that departed day 
When Hope was kind and Friendship seem’d sincere; 
—Ere I had purchas’d knowledge with a tear.
—Mondego! though I bend my pilgrim way 
To other shores, where other fountains stray,
And other rivers roll their proud career, 
Still—nor shall time, nor grief, nor stars severe, 
Nor widening distance e’er prevail in aught 
To make thee less to this sad bosom dear; 
And Memory oft, by old Affection taught, 
Shall lightly speed upon the plumes of thought, 
To bathe amongst thy waters cold and clear!

 

 

 

Doces e claras aguas do Mondego, 
Doce repouso de minha lembrança, 
Onde a comprida e pérfida esperança 
Longo tempo apoz si me trouxe cego.
De vós me aparto, si; porém não nego, 
Que inda a longa memoria, que me alcança. 
Me não deixa de vós fazer mudança. 
Mas quanto mais me alongo, mais me achego.
Bem poderá a Fortuna este instrumento 
Da alma levar por terra nova e extranha, 
Oíferecido ao mar remoto, ao vento.
Mas a alma, que de cá vos acompanha. 
Nas azas do ligeiro pensamento 
Para vós, aguas, vôa, e em vós se banha.",Luís de Camões,sonnet,Sonnet,"This poem is a sonnet because it adheres to the traditional structure of a sonnet, featuring a specific rhyme scheme (ABABCDCDEFEFGG) that is typical in English sonnets. The poem is composed of 14 lines and expresses a deep emotional concern or reflection, which is characteristic of sonnet themes. It also includes a volta, or turn, that provides a shift in perspective, consistent with classical sonnet forms.",Structure,0.92
Unstable Dream,"Unstable dream, according to the place,
Be steadfast once, or else at least be true.
By tasted sweetness make me not to rue
The sudden loss of thy false feignèd grace.
By good respect in such a dangerous case
Thou broughtest not her into this tossing mew
But madest my sprite live, my care to renew,
My body in tempest her succour to embrace.
The body dead, the sprite had his desire,
Painless was th'one, th'other in delight.
Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain.",Sir Thomas Wyatt,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines and follows a specific meter—typically iambic pentameter—along with a structured rhyme scheme. The themes of love, longing, and the tumult of emotion suggest it leans toward the traditional sonnet form, potentially an English or Shakespearean sonnet, characterized by its reflective qualities and depth of emotion. The progression of ideas from the stirring of emotions to the pain of unfulfilled desires aligns well with the reflective nature of sonnets.",Structure,0.85
Sonnet XCI [I can in groups these mimic flowers compose],"Reflections on Some Drawings of Plants

I can in groups these mimic flowers compose,
  These bells and golden eyes, embathed in dew; 
Catch the soft blush that warms the early Rose, 
  Or the pale Iris cloud with veins of blue; 
Copy the scallop’d leaves, and downy stems, 
  And bid the pencil’s varied shades arrest 
Spring’s humid buds, and Summer’s musky gems: 
  But, save the portrait on my bleeding breast, 
I have no semblance of that form adored, 
  That form, expressive of a soul divine, 
  So early blighted, and while life is mine, 
With fond regret, and ceaseless grief deplored— 
  That grief, my angel! with too faithful art 
  Enshrines thy image in thy Mother’s heart. ",Charlotte Smith,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines with a specific rhyme scheme and utilizes iambic pentameter, which is typical for the sonnet form. The thematic focus on love, loss, and longing is also characteristic of sonnets, particularly the Petrarchan or romantic styles. The poem develops an emotional experience in a structured way, leading to a conclusion or a poignant reflection that resonates with the reader.",Structure,0.85
