poem_title,poem_text,author,form,poetic_form,rationale,summary,confidence,blocked
[Weaned from life and flown away],"Weaned from life and flown away
In the morning of thy day, 
Bound in everlasting gloom, 
Buried in a hapless tomb.

Yet upon thy bended knee 
Thank the power that banished thee; 
Chain and bar and dungeon wall 
Saved thee from a deadlier thrall.

Thank the power that made thee part 
Ere that parting broke thy heart. 
Wildly rushed the mountain spring 
From its source of fern and ling; 
How invincible its roar, 
Had its waters worn the shore.",Emily Brontë,sonnet,Blues Poem,"This poem fits the structure of a blues poem due to its repetitive structure (repeating ""Thank the power"" and themes of suffering, redemption, and resilience), its use of personal lament and direct address, and its focus on overcoming hardship, all of which are characteristic of the blues form. The poem also employs a narrative arc that moves from despair to gratitude, a common feature in blues expression.",Redemption,0.87,False
Of Love: A Sonnet,"How love came in I do not know,
Whether by the eye, or ear, or no;
Or whether with the soul it came
(At first) infused with the same;
Whether in part ’tis here or there,
Or, like the soul, whole everywhere,
This troubles me: but I as well
As any other this can tell:
That when from hence she does depart
The outlet then is from the heart.",Robert Herrick,sonnet,Ghazal,"This poem is a ghazal because it features a consistent rhyme scheme (common in ghazals) and explores themes of love and longing, often with a reflective, slightly melancholic tone. The repeated refrain-like quality at the end of each couplet, and the questioning tone about the nature of love, align with the typical structure and spirit of the ghazal form, even if the provided poem is shorter than the traditional 14 couplets.",Reflection,0.87,False
"Sonnet XLIV [For Thee the Sun Doth Daily Rise, and Set] ","For thee the sun doth daily rise, and set 
Behind the curtain of the hills of sleep,  
And my soul, passing through the nether deep,  
Broods on thy love, and never can forget.  
For thee the garlands of the wood are wet,  
For thee the daisies up the meadow’s sweep 
Stir in the sidelong light, and for thee weep 
The drooping ferns above the violet.  
For thee the labour of my studious ease 
I ply with hope, for thee all pleasures please,  
Thy sweetness doth the bread of sorrow leaven;  
And from thy noble lips and heart of gold 
I drink the comfort of the faiths of old,  
Any thy perfection is my proof of heaven.",George Santayana,sonnet,Ghazal,"This poem is a ghazal because it is composed of couplets (two-line stanzas) with a consistent rhyme scheme, and it explores themes of love, devotion, and the beauty of the beloved’s influence on the speaker’s life. Ghazals typically feature this structure and an emphasis on longing and the divine or ideal beloved. While the poem does not explicitly use the traditional ""qafiʿ"" (closing stanza or pāṛa), its lyrical intensity and preoccupation with love align closely with the spirit of the ghazal form.",Devotion,0.89,False
That you were once unkind befriends me now (Sonnet 120),"That you were once unkind befriends me now,
And for that sorrow which I then did feel
Needs must I under my transgression bow,
Unless my nerves were brass or hammer’d steel.
For if you were by my unkindness shaken
As I by yours, you’ve pass’d a hell of time,
And I, a tyrant, have no leisure taken
To weigh how once I suffer’d in your crime.
O, that our night of woe might have remember’d
My deepest sense, how hard true sorrow hits,
And soon to you, as you to me, then tender’d
The humble salve which wounded bosoms fits!
    But that your trespass now becomes a fee;
    Mine ransoms yours, and yours must ransom me.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic ghazal structure of couplets (usually in the form of two quatrains per stanza) linked by a central rhyming couplet (maqta‘), and it explores themes of regret, reconciliation, and emotional exchange—common in the genre. The poem moves between two speakers (the narrator and ""you""), and there is a thematic shift toward forgiveness and mutual suffering, which aligns with the reflective and often confessional tone of the ghazal. While the form is not strictly adhered to in the provided text (as the full structure is not shown), the rhyming scheme, thematic depth, and conversational tone are highly suggestive of the ghazal tradition.",Reciprocity,0.85,False
Sonnet 18: Shall I compare thee to a summer’s day?,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",William Shakespeare,sonnet,Sonnet,"This poem is a sonnet because it consists of 14 lines, follows a strict iambic pentameter meter (in most interpretations), and employs a consistent rhyme scheme (ABAB for the first eight lines, then a variant for the couplet), which are the defining features of a Shakespearean sonnet. The poem also explores themes of beauty, time, and immortality, which are common in sonnets.",Structure,0.98,False
"Sonnets from the Portuguese 20: Beloved, my Beloved, when I think","Beloved, my Beloved, when I think 
That thou wast in the world a year ago, 
What time I sate alone here in the snow 
And saw no footprint, heard the silence sink 
No moment at thy voice ... but, link by link, 
Went counting all my chains, as if that so 
They never could fall off at any blow 
Struck by thy possible hand ... why, thus I drink 
Of life's great cup of wonder! Wonderful, 
Never to feel thee thrill the day or night 
With personal act or speech,—nor ever cull 
Some prescience of thee with the blossoms white 
Thou sawest growing! Atheists are as dull, 
Who cannot guess God's presence out of sight.",Elizabeth Barrett Browning,sonnet,Ghazal,"This poem is a ghazal because it features a recurring rhyme scheme (notably in the lines ending with ""saw,"" ""link,"" ""blow,"" ""white,"" etc.), an emphasis on the beloved as a central motif, and a tone of yearning and spiritual reflection, all of which are hallmarks of the ghazal form. Additionally, while the poem does not strictly follow the traditional division of couplets and a concluding panchayat (five-verse stanza), the overall structure and thematic content align closely with the conventions of the ghazal, particularly in its exploration of love, divine presence, and introspection.",Love,0.89,False
Say that thou didst forsake me for some fault (Sonnet 89),"Say that thou didst forsake me for some fault,
And I will comment upon that offence;
Speak of my lameness, and I straight will halt,
Against thy reasons making no defence.
Thou canst not, love, disgrace me half so ill,
To set a form upon desired change,
As I’ll myself disgrace: knowing thy will,
I will acquaintance strangle and look strange,
Be absent from thy walks, and in my tongue
Thy sweet beloved name no more shall dwell,
Lest I, too much profane, should do it wrong
And haply of our old acquaintance tell.
    For thee against myself I’ll vow debate,
    For I must ne’er love him whom thou dost hate.",William Shakespeare,sonnet,Ghazal,"This poem is a ghazal because it consists of decoupled couplets (each pair of lines forms a ""patach"") linked by a thematic refrain or central idea, although the refrain is not explicitly stated here. The poem's tone is introspective and meditative, focusing on themes of love, betrayal, and internal conflict, which are hallmarks of the ghazal form. Additionally, the shift in perspective between the speaker and the beloved, as well as the nuanced use of rhyme and rhythm, are typical of ghazals. While the poem lacks an overt ""maqta' (punchline) or explicit ghazal markers, the structure of couplets and the lyrical exploration of emotional complexity suggest this form.",Reflection,0.89,False
On the Extinction of the Venetian Republic,"Once did She hold the gorgeous east in fee;
And was the safeguard of the west: the worth
Of Venice did not fall below her birth,
Venice, the eldest Child of Liberty.
She was a maiden City, bright and free;
No guile seduced, no force could violate;
And, when she took unto herself a Mate,
She must espouse the everlasting Sea.
And what if she had seen those glories fade,
Those titles vanish, and that strength decay;
Yet shall some tribute of regret be paid
When her long life hath reached its final day:
Men are we, and must grieve when even the Shade
Of that which once was great is passed away.",William Wordsworth,sonnet,Ghazal,"This poem is a ghazal because it exhibits the characteristic ghazal structure of couplets (or tercets) linked by a consistent rhyme scheme, often with a thematic refrain or a focus on personal or philosophical reflection. While the provided poem is written in continuous prose, the references to lineage (""eldest Child of Liberty""), legacy (""heritage""), and the passage of time, as well as the contemplative tone, strongly align with the introspective, rhymed style typical of the ghazal form in both form and thematic content. The poem’s meditative mood, subtle allusions to historical figures (likely inspired by the historical Sultans of Venice), and the recurring sense of loss and reflection are hallmarks of the ghazal.",Legacy,0.87,False
Sonnet VIII,"Mondego! thou, whose waters cold and clear 
Gird those green banks, where fancy fain would stay, 
Fondly to muse on that departed day 
When Hope was kind and Friendship seem’d sincere; 
—Ere I had purchas’d knowledge with a tear.
—Mondego! though I bend my pilgrim way 
To other shores, where other fountains stray,
And other rivers roll their proud career, 
Still—nor shall time, nor grief, nor stars severe, 
Nor widening distance e’er prevail in aught 
To make thee less to this sad bosom dear; 
And Memory oft, by old Affection taught, 
Shall lightly speed upon the plumes of thought, 
To bathe amongst thy waters cold and clear!

 

 

 

Doces e claras aguas do Mondego, 
Doce repouso de minha lembrança, 
Onde a comprida e pérfida esperança 
Longo tempo apoz si me trouxe cego.
De vós me aparto, si; porém não nego, 
Que inda a longa memoria, que me alcança. 
Me não deixa de vós fazer mudança. 
Mas quanto mais me alongo, mais me achego.
Bem poderá a Fortuna este instrumento 
Da alma levar por terra nova e extranha, 
Oíferecido ao mar remoto, ao vento.
Mas a alma, que de cá vos acompanha. 
Nas azas do ligeiro pensamento 
Para vós, aguas, vôa, e em vós se banha.",Luís de Camões,sonnet,Ghazal,"This poem is a ghazal because it is structured around repeated end-rhymes (as seen in the lines ending with ""clear,"" ""stay,"" ""sere,"" etc.), employs a formal frame of alternating rhymed couplets with unrhymed paragraphs (minars), and explores themes of memory, longing, and nature—characteristic of the ghazal tradition. The poem also exhibits the characteristic blend of personal emotion with a broader contemplative tone, and the refrain-like quality in the address to Mondego, reminiscent of ghazal's invocation of a beloved or natural element.",Memory,0.92,False
Unstable Dream,"Unstable dream, according to the place,
Be steadfast once, or else at least be true.
By tasted sweetness make me not to rue
The sudden loss of thy false feignèd grace.
By good respect in such a dangerous case
Thou broughtest not her into this tossing mew
But madest my sprite live, my care to renew,
My body in tempest her succour to embrace.
The body dead, the sprite had his desire,
Painless was th'one, th'other in delight.
Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain.",Sir Thomas Wyatt,sonnet,Ghazal,"This poem is most likely a ghazal because it exhibits the characteristic ghazal structure of alternating rhymes and a refrain or thematic emphasis on the duality of the beloved (or a desired state), as seen in lines referencing ""Unstable dream"" and the contrast between the body and the sprite. The poem's exploration of longing, loss, and yearning for stability aligns with the emotional and structural elements typical of the ghazal form, even though the provided text is incomplete to fully confirm the ghazal's traditional paur (couplet) structure or the presence of a maqta (couplet's ending line that serves as the refrain). The recurring themes of desire and disappointment are also common in ghazals.",Longing,0.85,False
