duplex_eligible,PES_phrase,RR_phrase,EC_phrase,WES_word,WRS_word,WC_word,first_last_max_phrase_len,first_last_num_matches,poem_id,n_lines,subject,with_brown_rules,prompt_type
False,,,,,,,,,0,18,abuse,False,general
False,,,,,,,,,1,16,abuse,False,figurative
False,,,,,,,,,2,21,abuse,False,specific
False,,,,,,,,,3,16,activities,False,general
True,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,4,14,activities,False,figurative
False,,,,,,,,,5,20,activities,False,specific
False,,,,,,,,,6,18,arts & sciences,False,general
True,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,7,14,arts & sciences,False,figurative
False,,,,,,,,,8,18,arts & sciences,False,specific
False,,,,,,,,,9,20,christianity,False,general
True,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,10,14,christianity,False,figurative
False,,,,,,,,,11,20,christianity,False,specific
False,,,,,,,,,12,18,chronic illness,False,general
False,,,,,,,,,13,22,chronic illness,False,figurative
False,,,,,,,,,14,22,chronic illness,False,specific
False,,,,,,,,,15,22,crime & punishment,False,general
False,,,,,,,,,16,22,crime & punishment,False,figurative
False,,,,,,,,,17,18,crime & punishment,False,specific
False,,,,,,,,,18,21,cycles,False,general
True,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,19,14,cycles,False,figurative
False,,,,,,,,,20,16,cycles,False,specific
False,,,,,,,,,21,16,desire & passion,False,general
False,,,,,,,,,22,20,desire & passion,False,figurative
False,,,,,,,,,23,20,desire & passion,False,specific
False,,,,,,,,,24,22,doubt & contemplation,False,general
False,,,,,,,,,25,20,doubt & contemplation,False,figurative
False,,,,,,,,,26,22,doubt & contemplation,False,specific
False,,,,,,,,,27,16,family & ancestors,False,general
False,,,,,,,,,28,20,family & ancestors,False,figurative
False,,,,,,,,,29,24,family & ancestors,False,specific
False,,,,,,,,,30,16,gender & sexuality,False,general
False,,,,,,,,,31,16,gender & sexuality,False,figurative
False,,,,,,,,,32,12,gender & sexuality,False,specific
False,,,,,,,,,33,16,greek & roman mythology,False,general
False,,,,,,,,,34,22,greek & roman mythology,False,figurative
False,,,,,,,,,35,24,greek & roman mythology,False,specific
False,,,,,,,,,36,20,history & politics,False,general
False,,,,,,,,,37,22,history & politics,False,figurative
False,,,,,,,,,38,20,history & politics,False,specific
False,,,,,,,,,39,24,home life,False,general
False,,,,,,,,,40,28,home life,False,figurative
False,,,,,,,,,41,35,home life,False,specific
False,,,,,,,,,42,16,hope,False,general
False,,,,,,,,,43,22,hope,False,figurative
True,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,44,14,hope,False,specific
False,,,,,,,,,45,16,humor & satire,False,general
False,,,,,,,,,46,18,humor & satire,False,figurative
False,,,,,,,,,47,22,humor & satire,False,specific
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,14,indoor activities,False,general
True,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,49,14,indoor activities,False,figurative
False,,,,,,,,,50,16,indoor activities,False,specific
False,,,,,,,,,51,18,life choices,False,general
False,,,,,,,,,52,16,life choices,False,figurative
False,,,,,,,,,53,22,life choices,False,specific
False,,,,,,,,,54,18,lgbtq+,False,general
False,,,,,,,,,55,16,lgbtq+,False,figurative
False,,,,,,,,,56,20,lgbtq+,False,specific
False,,,,,,,,,57,20,living,False,general
False,,,,,,,,,58,20,living,False,figurative
False,,,,,,,,,59,28,living,False,specific
False,,,,,,,,,60,16,love,False,general
False,,,,,,,,,61,12,love,False,figurative
False,,,,,,,,,62,18,love,False,specific
False,,,,,,,,,63,20,love death avoidance,False,general
False,,,,,,,,,64,22,love death avoidance,False,figurative
False,,,,,,,,,65,20,love death avoidance,False,specific
False,,,,,,,,,66,18,memory & nostalgia,False,general
True,1.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,1.0,0.0,67,14,memory & nostalgia,False,figurative
False,,,,,,,,,68,16,memory & nostalgia,False,specific
False,,,,,,,,,69,24,men & women,False,general
False,,,,,,,,,70,16,men & women,False,figurative
False,,,,,,,,,71,20,men & women,False,specific
False,,,,,,,,,72,16,mythology & folklore,False,general
False,,,,,,,,,73,20,mythology & folklore,False,figurative
False,,,,,,,,,74,16,mythology & folklore,False,specific
False,,,,,,,,,75,16,nature,False,general
False,,,,,,,,,76,16,nature,False,figurative
False,,,,,,,,,77,12,nature,False,specific
False,,,,,,,,,78,16,power,False,general
False,,,,,,,,,79,22,power,False,figurative
False,,,,,,,,,80,20,power,False,specific
False,,,,,,,,,81,16,poetry & poets,False,general
False,,,,,,,,,82,16,poetry & poets,False,figurative
False,,,,,,,,,83,20,poetry & poets,False,specific
False,,,,,,,,,84,22,race & ethnicity,False,general
False,,,,,,,,,85,16,race & ethnicity,False,figurative
False,,,,,,,,,86,16,race & ethnicity,False,specific
False,,,,,,,,,87,16,relationships,False,general
False,,,,,,,,,88,18,relationships,False,figurative
False,,,,,,,,,89,20,relationships,False,specific
False,,,,,,,,,90,20,romantic love,False,general
True,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,1.0,0.0,91,14,romantic love,False,figurative
False,,,,,,,,,92,18,romantic love,False,specific
True,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.0,0.0,0.0,1.0,0.0,93,14,sexual violence,False,general
False,,,,,,,,,94,22,sexual violence,False,figurative
False,,,,,,,,,95,20,sexual violence,False,specific
True,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,96,14,sorrow & grieving,False,general
False,,,,,,,,,97,16,sorrow & grieving,False,figurative
False,,,,,,,,,98,18,sorrow & grieving,False,specific
False,,,,,,,,,99,18,social commentaries,False,general
False,,,,,,,,,100,22,social commentaries,False,figurative
False,,,,,,,,,101,20,social commentaries,False,specific
False,,,,,,,,,102,24,subjugation,False,general
False,,,,,,,,,103,12,subjugation,False,figurative
False,,,,,,,,,104,24,subjugation,False,specific
False,,,,,,,,,105,20,the mind,False,general
True,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,106,14,the mind,False,figurative
False,,,,,,,,,107,18,the mind,False,specific
False,,,,,,,,,108,16,trees and flowers,False,general
False,,,,,,,,,109,16,trees and flowers,False,figurative
False,,,,,,,,,110,24,trees and flowers,False,specific
False,,,,,,,,,111,18,truth,False,general
False,,,,,,,,,112,20,truth,False,figurative
False,,,,,,,,,113,16,truth,False,specific
False,,,,,,,,,114,18,twilight,False,general
False,,,,,,,,,115,16,twilight,False,figurative
False,,,,,,,,,116,20,twilight,False,specific
False,,,,,,,,,117,20,urban environment,False,general
False,,,,,,,,,118,16,urban environment,False,figurative
False,,,,,,,,,119,28,urban environment,False,specific
False,,,,,,,,,120,22,war & conflict,False,general
False,,,,,,,,,121,20,war & conflict,False,figurative
False,,,,,,,,,122,18,war & conflict,False,specific
False,,,,,,,,,123,16,weather,False,general
False,,,,,,,,,124,12,weather,False,figurative
False,,,,,,,,,125,20,weather,False,specific
False,,,,,,,,,126,18,youth,False,general
False,,,,,,,,,127,20,youth,False,figurative
False,,,,,,,,,128,24,youth,False,specific
False,,,,,,,,,129,13,abuse,True,general
False,,,,,,,,,130,16,abuse,True,figurative
