pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
0,adjacent,,0,0,,False,0,abuse,True,general
1,adjacent,"different, ghost, stain, yellow",4,7,each yellow stain becomes a different ghost,True,0,abuse,True,general
2,adjacent,,0,0,,False,0,abuse,True,general
3,adjacent,"haunt, i, mirror, stand",4,9,and haunts the mirror where i used to stand,True,0,abuse,True,general
4,adjacent,,0,0,,False,0,abuse,True,general
5,adjacent,"destroy, glass, love, reflect, shatter, what",6,7,now shattered glass reflects what love destroyed,True,0,abuse,True,general
6,adjacent,,0,0,,False,0,abuse,True,general
7,adjacent,"promise, protect, tender, word",4,7,though tender words once promised to protect,True,0,abuse,True,general
8,adjacent,,0,1,to,False,0,abuse,True,general
9,adjacent,"fist, hide, i, teach, that, they, turn",7,10,they turned to fists that taught me how to hide,True,0,abuse,True,general
10,adjacent,that,1,1,that,True,0,abuse,True,general
11,adjacent,"fool, outside, smile, that, world",5,8,behind a smile that fooled the world outside,True,0,abuse,True,general
12,adjacent,,0,1,that,False,0,abuse,True,general
13,adjacent,"break, free, i, learn, mean, open",6,8,i learned that breaking free means breaking open,True,0,abuse,True,general
14,adjacent,,0,0,,False,0,abuse,True,general
15,first_last,"bruise, disappear, fade",3,7,the bruises fade but never quite disappear,True,0,abuse,True,general
0,adjacent,"bruise, fade, leave",3,7,the bruises fade but never really leave,True,1,abuse,True,figurative
1,adjacent,,0,0,,False,1,abuse,True,figurative
2,adjacent,"body, gentle, grieve, his, my, word",6,8,his gentle words now make my body grieve,True,1,abuse,True,figurative
3,adjacent,his,1,1,his,True,1,abuse,True,figurative
4,adjacent,"his, i, learn, read, sleeve, storm",6,9,i learned to read the storms behind his sleeve,True,1,abuse,True,figurative
5,adjacent,,0,0,,False,1,abuse,True,figurative
6,adjacent,"ask, breathe, child, mommy, my",5,8,my children ask why mommy does n't breathe,True,1,abuse,True,figurative
7,adjacent,,0,0,,False,1,abuse,True,figurative
8,adjacent,"believe, easy, i, lie, tell, they",6,8,i tell them lies are easier to believe,True,1,abuse,True,figurative
9,adjacent,i,1,1,i,True,1,abuse,True,figurative
10,adjacent,"i, mirror, retrieve, show, what",5,8,the mirror shows what i can not retrieve,True,1,abuse,True,figurative
11,adjacent,i,1,1,i,True,1,abuse,True,figurative
12,adjacent,"dream, i, learn, leave, night",5,9,some nights i dream of learning how to leave,True,1,abuse,True,figurative
13,adjacent,leave,1,1,leave,True,1,abuse,True,figurative
14,first_last,"bruise, fade, leave",3,7,the bruises fade but never really leave,True,1,abuse,True,figurative
0,adjacent,"door, kitchen, sound, swing",4,8,the kitchen door still swings without a sound,True,2,abuse,True,specific
1,adjacent,,0,1,the,False,2,abuse,True,specific
2,adjacent,"break, ground, hold, silence, what, you",6,9,what silence holds can break you to the ground,True,2,abuse,True,specific
3,adjacent,,0,1,to,False,2,abuse,True,specific
4,adjacent,"eye, his, i, learn, read, warning",6,9,i learned to read the warning in his eyes,True,2,abuse,True,specific
5,adjacent,i,1,1,i,True,2,abuse,True,specific
6,adjacent,"burn, dinner, i, lie, practice, tell",6,7,when dinner burned i practiced telling lies,True,2,abuse,True,specific
7,adjacent,,0,0,,False,2,abuse,True,specific
8,adjacent,"bloom, bruise, flower, like, mother, my, purple",7,8,my mother 's bruises bloomed like purple flowers,True,2,abuse,True,specific
9,adjacent,,0,0,,False,2,abuse,True,specific
10,adjacent,"count, hour, minute, time, we",5,8,we counted time in minutes not in hours,True,2,abuse,True,specific
11,adjacent,,0,0,,False,2,abuse,True,specific
12,adjacent,"freeze, i, pass, thirty, year",5,9,now thirty years have passed but i still freeze,True,2,abuse,True,specific
13,adjacent,,0,1,still,False,2,abuse,True,specific
14,first_last,"door, kitchen, sound, swing",4,8,the kitchen door still swings without a sound,True,2,abuse,True,specific
0,adjacent,"fold, i",2,2,i fold,True,3,activities,True,general
1,adjacent,"fold, grow, hand, i, morning, my, old, prayer",8,10,i fold my hands in prayer the morning grows old,True,3,activities,True,general
