poem_id,subject,with_brown_rules,prompt_type,n_lines,num_pairs_passing_echo,first_last_passes_echo
0,abuse,True,general,16,8,True
1,abuse,True,figurative,15,11,True
2,abuse,True,specific,15,8,True
3,activities,True,general,14,9,True
4,activities,True,figurative,16,10,True
5,activities,True,specific,16,7,True
6,arts & sciences,True,general,15,8,True
7,arts & sciences,True,figurative,15,7,True
8,arts & sciences,True,specific,16,9,True
9,christianity,True,general,16,8,True
10,christianity,True,figurative,15,8,True
11,christianity,True,specific,15,8,True
12,chronic illness,True,general,15,8,True
13,chronic illness,True,figurative,15,12,True
14,chronic illness,True,specific,15,7,True
15,crime & punishment,True,general,21,10,True
16,crime & punishment,True,figurative,15,10,True
17,crime & punishment,True,specific,15,9,True
18,cycles,True,general,14,8,True
19,cycles,True,figurative,16,10,True
20,cycles,True,specific,15,9,True
21,desire & passion,True,general,14,6,True
22,desire & passion,True,figurative,15,8,True
23,desire & passion,True,specific,15,7,True
24,doubt & contemplation,True,general,15,8,True
25,doubt & contemplation,True,figurative,18,9,False
26,doubt & contemplation,True,specific,15,8,True
27,family & ancestors,True,general,15,11,True
28,family & ancestors,True,figurative,15,9,True
29,family & ancestors,True,specific,14,10,True
30,gender & sexuality,True,general,15,11,True
31,gender & sexuality,True,figurative,14,8,True
32,gender & sexuality,True,specific,15,10,True
33,greek & roman mythology,True,general,17,10,True
34,greek & roman mythology,True,figurative,15,9,True
35,greek & roman mythology,True,specific,15,7,True
36,history & politics,True,general,15,7,True
37,history & politics,True,figurative,15,7,True
38,history & politics,True,specific,16,8,True
39,home life,True,general,15,9,True
40,home life,True,figurative,15,7,True
41,home life,True,specific,16,8,True
42,hope,True,general,15,10,True
43,hope,True,figurative,15,11,True
44,hope,True,specific,14,7,True
45,humor & satire,True,general,15,9,True
46,humor & satire,True,figurative,16,7,True
47,humor & satire,True,specific,15,9,True
48,indoor activities,True,general,19,10,True
49,indoor activities,True,figurative,16,10,True
50,indoor activities,True,specific,15,7,True
51,life choices,True,general,15,14,True
52,life choices,True,figurative,15,9,True
53,life choices,True,specific,17,10,True
54,lgbtq+,True,general,15,8,True
55,lgbtq+,True,figurative,16,11,True
56,lgbtq+,True,specific,14,12,True
57,living,True,general,16,10,True
58,living,True,figurative,16,13,True
59,living,True,specific,14,9,True
60,love,True,general,15,11,True
61,love,True,figurative,15,7,True
62,love,True,specific,17,9,True
63,love death avoidance,True,general,15,9,True
64,love death avoidance,True,figurative,16,12,False
65,love death avoidance,True,specific,15,8,True
66,memory & nostalgia,True,general,17,8,True
67,memory & nostalgia,True,figurative,14,6,True
68,memory & nostalgia,True,specific,15,10,True
69,men & women,True,general,15,10,True
70,men & women,True,figurative,15,9,True
71,men & women,True,specific,15,7,True
72,mythology & folklore,True,general,15,8,True
73,mythology & folklore,True,figurative,16,9,False
74,mythology & folklore,True,specific,16,8,True
75,nature,True,general,15,7,True
76,nature,True,figurative,16,8,True
77,nature,True,specific,17,9,True
78,power,True,general,16,10,True
79,power,True,figurative,16,8,False
80,power,True,specific,15,10,True
81,poetry & poets,True,general,15,8,True
82,poetry & poets,True,figurative,16,9,False
83,poetry & poets,True,specific,15,7,True
84,race & ethnicity,True,general,16,10,True
85,race & ethnicity,True,figurative,15,9,True
86,race & ethnicity,True,specific,16,10,True
87,relationships,True,general,15,12,True
88,relationships,True,figurative,14,9,True
89,relationships,True,specific,15,11,True
90,romantic love,True,general,15,9,True
91,romantic love,True,figurative,15,7,True
92,romantic love,True,specific,16,8,True
93,sexual violence,True,general,18,8,True
