duplex_eligible,PES_phrase,RR_phrase,EC_phrase,WES_word,WRS_word,WC_word,first_last_max_phrase_len,first_last_num_matches,poem_id,n_lines,subject,with_brown_rules,prompt_type
False,,,,,,,,,0,16,abuse,True,general
False,,,,,,,,,1,15,abuse,True,figurative
False,,,,,,,,,2,15,abuse,True,specific
True,9.142857142857142,0.8571428571428571,8.285714285714285,6.142857142857143,0.7142857142857143,5.428571428571429,9.0,6.0,3,14,activities,True,general
False,,,,,,,,,4,16,activities,True,figurative
False,,,,,,,,,5,16,activities,True,specific
False,,,,,,,,,6,15,arts & sciences,True,general
False,,,,,,,,,7,15,arts & sciences,True,figurative
False,,,,,,,,,8,16,arts & sciences,True,specific
False,,,,,,,,,9,16,christianity,True,general
False,,,,,,,,,10,15,christianity,True,figurative
False,,,,,,,,,11,15,christianity,True,specific
False,,,,,,,,,12,15,chronic illness,True,general
False,,,,,,,,,13,15,chronic illness,True,figurative
False,,,,,,,,,14,15,chronic illness,True,specific
False,,,,,,,,,15,21,crime & punishment,True,general
False,,,,,,,,,16,15,crime & punishment,True,figurative
False,,,,,,,,,17,15,crime & punishment,True,specific
True,1.7142857142857142,7.142857142857143,-5.428571428571429,1.1428571428571428,4.714285714285714,-3.5714285714285716,9.0,6.0,18,14,cycles,True,general
False,,,,,,,,,19,16,cycles,True,figurative
False,,,,,,,,,20,15,cycles,True,specific
True,1.4285714285714286,7.714285714285714,-6.285714285714286,0.7142857142857143,4.285714285714286,-3.571428571428571,10.0,5.0,21,14,desire & passion,True,general
False,,,,,,,,,22,15,desire & passion,True,figurative
False,,,,,,,,,23,15,desire & passion,True,specific
False,,,,,,,,,24,15,doubt & contemplation,True,general
False,,,,,,,,,25,18,doubt & contemplation,True,figurative
False,,,,,,,,,26,15,doubt & contemplation,True,specific
False,,,,,,,,,27,15,family & ancestors,True,general
False,,,,,,,,,28,15,family & ancestors,True,figurative
True,1.8571428571428572,9.0,-7.142857142857142,1.2857142857142858,5.428571428571429,-4.142857142857143,8.0,6.0,29,14,family & ancestors,True,specific
False,,,,,,,,,30,15,gender & sexuality,True,general
True,8.857142857142858,0.42857142857142855,8.428571428571429,5.571428571428571,0.2857142857142857,5.285714285714286,9.0,6.0,31,14,gender & sexuality,True,figurative
False,,,,,,,,,32,15,gender & sexuality,True,specific
False,,,,,,,,,33,17,greek & roman mythology,True,general
False,,,,,,,,,34,15,greek & roman mythology,True,figurative
False,,,,,,,,,35,15,greek & roman mythology,True,specific
False,,,,,,,,,36,15,history & politics,True,general
False,,,,,,,,,37,15,history & politics,True,figurative
False,,,,,,,,,38,16,history & politics,True,specific
False,,,,,,,,,39,15,home life,True,general
False,,,,,,,,,40,15,home life,True,figurative
False,,,,,,,,,41,16,home life,True,specific
False,,,,,,,,,42,15,hope,True,general
False,,,,,,,,,43,15,hope,True,figurative
True,8.857142857142858,0.14285714285714285,8.714285714285715,6.0,0.14285714285714285,5.857142857142857,7.0,5.0,44,14,hope,True,specific
False,,,,,,,,,45,15,humor & satire,True,general
False,,,,,,,,,46,16,humor & satire,True,figurative
False,,,,,,,,,47,15,humor & satire,True,specific
False,,,,,,,,,48,19,indoor activities,True,general
False,,,,,,,,,49,16,indoor activities,True,figurative
False,,,,,,,,,50,15,indoor activities,True,specific
False,,,,,,,,,51,15,life choices,True,general
False,,,,,,,,,52,15,life choices,True,figurative
False,,,,,,,,,53,17,life choices,True,specific
False,,,,,,,,,54,15,lgbtq+,True,general
False,,,,,,,,,55,16,lgbtq+,True,figurative
True,1.8571428571428572,6.857142857142857,-5.0,1.4285714285714286,4.285714285714286,-2.8571428571428568,7.0,5.0,56,14,lgbtq+,True,specific
False,,,,,,,,,57,16,living,True,general
False,,,,,,,,,58,16,living,True,figurative
True,8.285714285714286,0.5714285714285714,7.714285714285715,5.0,0.42857142857142855,4.571428571428571,9.0,7.0,59,14,living,True,specific
False,,,,,,,,,60,15,love,True,general
False,,,,,,,,,61,15,love,True,figurative
False,,,,,,,,,62,17,love,True,specific
False,,,,,,,,,63,15,love death avoidance,True,general
False,,,,,,,,,64,16,love death avoidance,True,figurative
False,,,,,,,,,65,15,love death avoidance,True,specific
False,,,,,,,,,66,17,memory & nostalgia,True,general
True,1.2857142857142858,6.428571428571429,-5.142857142857143,0.42857142857142855,3.2857142857142856,-2.857142857142857,7.0,3.0,67,14,memory & nostalgia,True,figurative
False,,,,,,,,,68,15,memory & nostalgia,True,specific
False,,,,,,,,,69,15,men & women,True,general
False,,,,,,,,,70,15,men & women,True,figurative
False,,,,,,,,,71,15,men & women,True,specific
False,,,,,,,,,72,15,mythology & folklore,True,general
False,,,,,,,,,73,16,mythology & folklore,True,figurative
False,,,,,,,,,74,16,mythology & folklore,True,specific
False,,,,,,,,,75,15,nature,True,general
False,,,,,,,,,76,16,nature,True,figurative
False,,,,,,,,,77,17,nature,True,specific
False,,,,,,,,,78,16,power,True,general
False,,,,,,,,,79,16,power,True,figurative
False,,,,,,,,,80,15,power,True,specific
False,,,,,,,,,81,15,poetry & poets,True,general
False,,,,,,,,,82,16,poetry & poets,True,figurative
False,,,,,,,,,83,15,poetry & poets,True,specific
False,,,,,,,,,84,16,race & ethnicity,True,general
False,,,,,,,,,85,15,race & ethnicity,True,figurative
False,,,,,,,,,86,16,race & ethnicity,True,specific
False,,,,,,,,,87,15,relationships,True,general
True,8.857142857142858,0.7142857142857143,8.142857142857144,5.571428571428571,0.5714285714285714,5.0,9.0,7.0,88,14,relationships,True,figurative
False,,,,,,,,,89,15,relationships,True,specific
False,,,,,,,,,90,15,romantic love,True,general
False,,,,,,,,,91,15,romantic love,True,figurative
