duplex_eligible,PES_phrase,RR_phrase,EC_phrase,WES_word,WRS_word,WC_word,first_last_max_phrase_len,first_last_num_matches,poem_id,n_lines,subject,with_brown_rules,prompt_type
False,,,,,,,,,0,28,abuse,True,figurative
False,,,,,,,,,1,20,abuse,True,specific
False,,,,,,,,,2,32,activities,True,general
False,,,,,,,,,3,16,activities,True,figurative
False,,,,,,,,,4,12,activities,True,specific
False,,,,,,,,,5,22,arts & sciences,True,general
False,,,,,,,,,6,20,arts & sciences,True,figurative
False,,,,,,,,,7,16,arts & sciences,True,specific
False,,,,,,,,,8,18,christianity,True,general
False,,,,,,,,,9,18,christianity,True,figurative
False,,,,,,,,,10,20,christianity,True,specific
False,,,,,,,,,11,19,chronic illness,True,general
False,,,,,,,,,12,22,chronic illness,True,figurative
True,2.0,0.7142857142857143,1.2857142857142856,1.0,0.0,1.0,9.0,6.0,13,14,chronic illness,True,specific
False,,,,,,,,,14,21,crime & punishment,True,general
False,,,,,,,,,15,16,crime & punishment,True,figurative
False,,,,,,,,,16,18,crime & punishment,True,specific
False,,,,,,,,,17,15,cycles,True,general
False,,,,,,,,,18,10,cycles,True,figurative
False,,,,,,,,,19,10,cycles,True,specific
False,,,,,,,,,20,16,desire & passion,True,figurative
False,,,,,,,,,21,40,desire & passion,True,specific
False,,,,,,,,,22,32,doubt & contemplation,True,general
False,,,,,,,,,23,30,doubt & contemplation,True,figurative
False,,,,,,,,,24,16,doubt & contemplation,True,specific
False,,,,,,,,,25,24,family & ancestors,True,general
True,0.7142857142857143,0.8571428571428571,-0.1428571428571428,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,26,14,family & ancestors,True,figurative
False,,,,,,,,,27,16,family & ancestors,True,specific
False,,,,,,,,,28,21,gender & sexuality,True,general
False,,,,,,,,,29,16,gender & sexuality,True,figurative
True,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,30,14,greek & roman mythology,True,general
False,,,,,,,,,31,16,greek & roman mythology,True,figurative
False,,,,,,,,,32,16,greek & roman mythology,True,specific
False,,,,,,,,,33,20,history & politics,True,general
False,,,,,,,,,34,16,history & politics,True,figurative
False,,,,,,,,,35,20,home life,True,general
False,,,,,,,,,36,16,home life,True,figurative
False,,,,,,,,,37,16,home life,True,specific
False,,,,,,,,,38,13,hope,True,general
False,,,,,,,,,39,16,hope,True,figurative
False,,,,,,,,,40,24,hope,True,specific
False,,,,,,,,,41,15,humor & satire,True,general
False,,,,,,,,,42,23,humor & satire,True,figurative
False,,,,,,,,,43,20,humor & satire,True,specific
False,,,,,,,,,44,15,indoor activities,True,general
False,,,,,,,,,45,18,indoor activities,True,figurative
False,,,,,,,,,46,18,indoor activities,True,specific
True,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,47,14,life choices,True,general
False,,,,,,,,,48,16,life choices,True,figurative
True,5.285714285714286,4.571428571428571,0.7142857142857144,3.4285714285714284,1.8571428571428572,1.5714285714285712,11.0,9.0,49,14,life choices,True,specific
False,,,,,,,,,50,12,lgbtq+,True,general
False,,,,,,,,,51,20,lgbtq+,True,figurative
False,,,,,,,,,52,22,living,True,figurative
