poem_id,subject,with_brown_rules,prompt_type,n_lines,num_pairs_passing_echo,first_last_passes_echo
0,abuse,TRUE,figurative,28,1,FALSE
1,abuse,TRUE,specific,20,5,FALSE
2,activities,TRUE,general,32,6,FALSE
3,activities,TRUE,figurative,16,0,FALSE
4,activities,TRUE,specific,12,2,FALSE
5,arts & sciences,TRUE,general,22,1,FALSE
6,arts & sciences,TRUE,figurative,20,2,FALSE
7,arts & sciences,TRUE,specific,16,1,TRUE
8,christianity,TRUE,general,18,0,FALSE
9,christianity,TRUE,figurative,18,1,FALSE
10,christianity,TRUE,specific,20,0,FALSE
11,chronic illness,TRUE,general,19,1,TRUE
12,chronic illness,TRUE,figurative,22,1,TRUE
13,chronic illness,TRUE,specific,14,2,TRUE
14,crime & punishment,TRUE,general,21,0,TRUE
15,crime & punishment,TRUE,figurative,16,0,FALSE
16,crime & punishment,TRUE,specific,18,2,FALSE
17,cycles,TRUE,general,15,2,FALSE
18,cycles,TRUE,figurative,10,1,FALSE
19,cycles,TRUE,specific,10,0,TRUE
20,desire & passion,TRUE,figurative,16,2,FALSE
21,desire & passion,TRUE,specific,40,24,FALSE
22,doubt & contemplation,TRUE,general,32,2,FALSE
23,doubt & contemplation,TRUE,figurative,30,2,TRUE
24,doubt & contemplation,TRUE,specific,16,2,FALSE
25,family & ancestors,TRUE,general,24,2,FALSE
26,family & ancestors,TRUE,figurative,14,2,FALSE
27,family & ancestors,TRUE,specific,16,3,TRUE
28,gender & sexuality,TRUE,general,21,0,FALSE
29,gender & sexuality,TRUE,figurative,16,0,FALSE
30,greek & roman mythology,TRUE,general,14,1,FALSE
31,greek & roman mythology,TRUE,figurative,16,2,FALSE
32,greek & roman mythology,TRUE,specific,16,2,FALSE
33,history & politics,TRUE,general,20,2,TRUE
34,history & politics,TRUE,figurative,16,1,FALSE
35,home life,TRUE,general,20,2,FALSE
36,home life,TRUE,figurative,16,1,FALSE
37,home life,TRUE,specific,16,0,FALSE
38,hope,TRUE,general,13,1,FALSE
39,hope,TRUE,figurative,16,1,FALSE
40,hope,TRUE,specific,24,0,FALSE
41,humor & satire,TRUE,general,15,0,TRUE
42,humor & satire,TRUE,figurative,23,1,FALSE
43,humor & satire,TRUE,specific,20,0,FALSE
44,indoor activities,TRUE,general,15,0,FALSE
45,indoor activities,TRUE,figurative,18,2,FALSE
46,indoor activities,TRUE,specific,18,1,FALSE
47,life choices,TRUE,general,14,6,FALSE
48,life choices,TRUE,figurative,16,0,FALSE
49,life choices,TRUE,specific,14,10,TRUE
50,lgbtq+,TRUE,general,12,1,FALSE
51,lgbtq+,TRUE,figurative,20,0,FALSE
52,living,TRUE,figurative,22,2,FALSE
53,living,TRUE,specific,24,1,FALSE
54,love,TRUE,general,28,4,FALSE
55,love,TRUE,figurative,26,2,FALSE
56,love,TRUE,specific,14,2,FALSE
57,love death avoidance,TRUE,general,24,4,TRUE
58,love death avoidance,TRUE,figurative,22,5,FALSE
59,memory & nostalgia,TRUE,general,14,2,FALSE
60,memory & nostalgia,TRUE,figurative,18,4,FALSE
61,memory & nostalgia,TRUE,specific,14,9,TRUE
62,men & women,TRUE,general,19,0,TRUE
63,men & women,TRUE,figurative,27,4,TRUE
64,men & women,TRUE,specific,20,1,TRUE
65,mythology & folklore,TRUE,general,17,4,TRUE
66,mythology & folklore,TRUE,figurative,18,1,FALSE
67,mythology & folklore,TRUE,specific,16,2,TRUE
68,nature,TRUE,general,20,1,FALSE
69,nature,TRUE,figurative,22,3,TRUE
70,nature,TRUE,specific,20,2,FALSE
71,power,TRUE,general,28,1,FALSE
72,power,TRUE,figurative,22,1,FALSE
73,power,TRUE,specific,19,1,TRUE
74,poetry & poets,TRUE,general,30,1,FALSE
75,poetry & poets,TRUE,figurative,32,0,FALSE
76,poetry & poets,TRUE,specific,18,2,FALSE
77,race & ethnicity,TRUE,figurative,20,0,FALSE
78,race & ethnicity,TRUE,specific,14,3,FALSE
79,relationships,TRUE,general,28,4,TRUE
80,relationships,TRUE,figurative,24,1,FALSE
81,relationships,TRUE,specific,18,0,FALSE
82,romantic love,TRUE,general,24,6,TRUE
83,romantic love,TRUE,figurative,26,0,FALSE
84,romantic love,TRUE,specific,20,1,FALSE
85,sorrow & grieving,TRUE,general,16,2,TRUE
86,sorrow & grieving,TRUE,figurative,34,1,TRUE
87,sorrow & grieving,TRUE,specific,14,0,TRUE
88,social commentaries,TRUE,general,28,3,TRUE
89,social commentaries,TRUE,figurative,14,1,FALSE
90,subjugation,TRUE,general,17,1,FALSE
91,subjugation,TRUE,figurative,24,3,FALSE
92,subjugation,TRUE,specific,18,2,FALSE
93,the mind,TRUE,general,32,5,FALSE
94,the mind,TRUE,figurative,17,1,FALSE
95,trees and flowers,TRUE,general,15,0,TRUE
96,trees and flowers,TRUE,figurative,16,0,FALSE
97,trees and flowers,TRUE,specific,16,0,FALSE
98,truth,TRUE,general,20,3,FALSE
