subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
abuse,True,general,"The bruise blooms dark where no eye dares to wander.  
A shadow lingers, mute against the skin.  

A shadow lingers, mute against the skin,  
Its whispers buried deep beneath the bone.  

Its whispers buried deep beneath the bone—  
The body knows what the mind won’t speak of.  

The body knows what the mind won’t speak of,  
Each startling touch a prayer turned to ash.  

Each startling touch a prayer turned to ash,  
The ache we carry carved along our backs.  

The ache we carry carved along our backs,  
A hymn etched where forgiveness fears to tread.  

A hymn etched where forgiveness fears to tread,  
The bruise blooms dark where no eye dares to wander.  ","[ 0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  2  0  0  0  2  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  6  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  2  0  4  0  0  0  0  0  0  0]",0.24,0.53,0.44,0.32,0.41,0.39
abuse,True,figurative,"The silence thickens where the shouting fades—  
It keeps its weight, though nothing else remains.  

It keeps its weight, though nothing else remains,  
Pressed into walls that once could hold my name.  

Pressed into walls that once could hold my name,  
A voice lives there, unthreading every claim.  

A voice lives there, unthreading every claim,  
Its tone a ghost that whispers only blame.  

Its tone a ghost that whispers only blame,  
Each echo proof I was the one to maim.  

Each echo proof I was the one to maim—  
How long before I vanish, just the same?  

How long before I vanish, just the same?  
The silence thickens where the shouting fades.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 8 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.31,0.47,0.35,0.27,0.36,0.35
abuse,True,specific,"The mirror shattered, shards across the floor.  
The glass still shows me who I was before.  

The glass still shows me who I was before—  
A face I’d learned to flinch from, not adore.  

A face I’d learned to flinch from, not adore—  
Frozen by sounds of him behind the door.  

Frozen by sounds of him behind the door,  
The lock clicks, terror sinks into my core.  

The lock clicks, terror sinks into my core—  
My fingers trace the cracks I can’t ignore.  

My fingers trace the cracks I can’t ignore:  
His voice, the wreckage I keep reaching for.  

His voice, the wreckage I keep reaching for—  
The mirror shattered, shards across the floor.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 14  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  2  0  0  0  0  0  0]",0.34,0.59,0.44,0.38,0.47,0.44
activities,True,general," I stretch my limbs to greet the quiet dawn,  
The day unfolds in murmurs soft and slow.  

The day unfolds in murmurs soft and slow—  
Each moment sways like shadows on the floor.  

Each moment sways like shadows on the floor,  
A dance of tasks that pull against their weight.  

A dance of tasks that pull against their weight,  
Yet still, I move as if to find some joy.  

Yet still, I move as if to find some joy,  
The rhythm fills each empty, fleeting beat.  

The rhythm fills each empty, fleeting beat,  
And binds the hours in loops of sound and sweat.  

And binds the hours in loops of sound and sweat—  
I stretch my limbs to greet the quiet dawn.","[ 0  0  0  0  2  0  0  6  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  4  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2
  2  0  0  0  0  0  0  0  0  0  0  2 10  0  0  0  0  0  4  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.38,0.61,0.47,0.43,0.53,0.49
activities,True,figurative,"I heard the days slip through my careless hands.  
Time was a thread unraveling in the dark.  

Time was a thread unraveling in the dark,  
I stitched with tasks and still unspooled the seams.  

I stitched with tasks and still unspooled the seams,  
Building a tower that sank as I climbed.  

Building a tower that sank as I climbed,  
I chased my name through mirrors warped with ghosts.  

I chased my name through mirrors warped with ghosts,  
Each task a shadow shaping what I lost.  

Each task a shadow shaping what I lost,  
The hours sang loud but felt of hollow brass.  

The hours sang loud but felt of hollow brass,  
I heard the days slip through my careless hands.  ","[0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 8 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 4
 0 0 0 0 0]",0.4,0.53,0.36,0.42,0.48,0.44
activities,True,specific,"I lifted the hammer, the weight of the world,  
Each nail a promise trembling in my hand.  

Each nail a promise trembling in my hand,  
A map of hours scrawled on roughened wood.  

A map of hours scrawled on roughened wood,  
The walls rose slowly, splinters in my palms.  

The walls rose slowly, splinters in my palms,  
The house we built held whispers from the past.  

The house we built held whispers from the past,  
Your shadow lingered as I swung the tool.  

Your shadow lingered as I swung the tool,  
Echoes of laughter hid behind each beam.  

Echoes of laughter hid behind each beam,  
As if the hammer struck not wood, but air.  

I lifted the hammer, the weight of the world.  ","[ 0  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  1  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0
  0  6  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 15  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  2  0]",0.39,0.64,0.42,0.45,0.54,0.49
arts & sciences,True,general,"The brush’s arc reveals what the hands can’t say,  
A mute hymn rising in the whirl of hues.  

A mute hymn rising in the whirl of hues,  
The equation’s proof mirrors quiet truths.  

The equation’s proof mirrors quiet truths,  
Where numbers hum like strings in ancient air.  

Where numbers hum like strings in ancient air,  
I carve constellations from chaos and doubt.  

I carve constellations from chaos and doubt,  
Each canvas an orbit, each line a vein.  

Each canvas an orbit, each line a vein,  
An atom splits, and I paint its fracture.  

An atom splits, and I paint its fracture,  
The brush’s arc reveals what the hands can’t say.  ","[0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0
 0 0 0 0 0]",0.27,0.5,0.41,0.44,0.46,0.41
arts & sciences,True,figurative,"The brush’s sweep invents a world untamed.  
Its edge creates a stillness sharp as bone.  

Its edge creates a stillness sharp as bone;  
The theorist maps the chaos into lines.  

The theorist maps the chaos into lines—  
A formula rebuilds both flesh and star.  

A formula rebuilds both flesh and star,  
While colors split the night into belief.  

While colors split the night into belief,  
A whisper charts old questions into breath.  

A whisper charts old questions into breath;  
Each stroke becomes the why inside the frame.  

Each stroke becomes the why inside the frame—  
The brush’s sweep invents a world untamed.  ","[ 0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.25,0.51,0.28,0.32,0.38,0.35
arts & sciences,True,specific,"The lens turns heaven's black to brighter tones.  
Through glass, the cosmos whispers unseen truths.  

Through glass, the cosmos whispers unseen truths:  
A quiet hum of stars that never fade.  

A quiet hum of stars that never fade  
Lingers like ink on hands from written vows.  

Lingers like ink on hands from written vows—  
We trace their arcs in search of lost design.  

We trace their arcs in search of lost design,  
Each orbit sketched, a question in the air.  

Each orbit sketched, a question in the air,  
As if the void could grant a voice to light.  

As if the void could grant a voice to light,  
The lens turns heaven’s black to brighter tones.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 8 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.28,0.59,0.5,0.46,0.45,0.45
christianity,True,general,"I held a cross, though it burned in my hand.  
The fire felt quiet, a tongue I could not trust.  

The fire felt quiet, a tongue I could not trust,  
Its whispers slipped past hope into silence.  

Its whispers slipped past hope into silence—  
Who kneels but still questions the hands they pray to?  

Who kneels but still questions the hands they pray to,  
Fingers trembling, unsure of heaven’s weight?  

Fingers trembling, unsure of heaven’s weight,  
Are we saved, or are we only wandering?  

Are we saved, or are we only wandering?  
The stars in the sky gave no holy answer.  

The stars in the sky gave no holy answer.  
I held a cross, though it burned in my hand.  ","[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 4 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0
 0 0 0 0 0]",0.32,0.51,0.49,0.41,0.44,0.43
