subject,with_brown_rules,prompt_type,poem_text
abuse,TRUE,figurative,"Night hums low, a bruised refrain, 
Shadows twist in silent pain. 
Yet dawn’s pale tongue still tastes the same— 
A whisper, heavy as a chain. 

The echoes call, a mournful tune, 
A silver note the silence broke. 
They echo softly, hearts askew— 
Beneath the weight no voice spoke. 

Hope flickers, fragile, thin and bright, 
But walls press close, unyielding. 
A ghostly laugh in darkness lights 
The corners where the tears are bleeding. 

A sigh escapes the locked cage, 
A moth drawn to the flame’s allure. 
In mirrored glass, the truth engages— 
Reflected loss, yet still it sure. 

The river bends, the sky weeps blue, 
Each wave a memory, never whole. 
In echoes, I find you— 
And longing only fills the hole. 

Love’s echo breaks, then softly grows— 
A thorned rose in winter’s bone. 
Though shadows fall, I know the throes 
That shape the ache, the one I’ve known. 

The last refrain returns again— 
A note of sorrow, soft and dire. 
The night is stitched with threads of pain, 
Yet still the heart must rise, set fire. 
"
abuse,TRUE,specific,"A rusty key beneath the splintered floor, 
Locked memories that no one could restore. 
Yet in its teeth, a silent plea persists— 
Unscrews the cage where pain still exists. 

Beneath the floor, the ache was quietly kept; 
Now, it stirs the air, refusing to sleep. 
Like a blues refrain, my breath turns slow— 
Each turn of key unwinds what I don’t know. 

A ghazal whisper in the dust I sweep— 
You left your mark, but I must keep it deep. 
Yet this old lock, though scarred, still holds the gate 
To rooms where hurt still hums, unafraid. 

The weight of years, a chain I never broke, 
Still drags at heart when shadows spoke. 
But in the click, I find a trace of light— 
A moment’s freedom in the locked night. 

Now, key and wound entwined in fragile hold, 
Reflection bends the story, yet unfolds. 
A memory, bruised, yet in its shape I see— 
The moment I first locked the part of me. 
"
activities,TRUE,general,"
Activities bloom in morning’s pale light, 
Yet shadows weave where hours slip through. 
My hands chase tasks, yet time hides the sight— 
A restless hum in the air I knew. 


The clock ticks slow; I dance with the wait, 
A slow-blues refrain in each passing breath. 
My feet trace old patterns, unsure of fate— 
A jazzy ache in the rhythm of death. 


Routine’s tangle knots all I set out, 
Yet laughter sparks in the window’s frame. 
Each motion bends, bends, then breaks out— 
A ghazal sigh as I lose my name. 


The phone rings—another world to chase, 
But home beckons, soft as a remembered song. 
I plot and scribble, but the day’s trace 
Is a faded map where I’ve wandered wrong. 
 

Gathering dust, yet each act leaves a mark— 
A whisper in the silent, empty room. 
My footsteps trace the blue I can’t remark— 
A sonnet’s end in the quiet gloom. 


The night gathers, heavy as my plans, 
But dreams stir—activities in their flight. 
I find the thread that ties all our hands— 
A duet woven with day and night. 


Again, activities in the silent air, 
Each one a note in a fractured refrain. 
I sing the blues of a task not done— 
Yet hope hums, a melody through pain. 


Activities: loop I cannot unmake, 
Yet in their turn, I find where I begin— 
Not just what’s done, but the space I create 
Where meaning lingers, and I might win. 
"
activities,TRUE,figurative,"
Night’s rhythm hums, a restless tune, 
Steps echo where my thoughts have strayed— 
A wandering shadow, lost and soon, 
Drifts in the currents of the made. 
Murmurs sway, a low familiar cry, 
In mirrored halls of memory’s hall— 
I trace the lines where joy and sorrow lie, 
Each echo spins a story tall. 
Sighs bend the air with a blues refrain, 
Light flickers, restless as a mind, 
Old patterns form, then twist again— 
Hope and doubt in the same twined. 
Moonlight kneels, then rises, slow, 
Through sorrow’s dusk, I walk the road— 
Night’s echo calls what morning knows: 
We find ourselves in the paths we’ve trod."
activities,TRUE,specific,"
Bent paperclip—my morning’s first hold, 
Twists hope like a river lost in snow. 
It clasps my plans, but slips in the cold, 
A whisper of longing I can’t let go. 
 
Clasp, let go—my hand remembers 
A classroom’s laughter, metal in clutch. 
It bends under time, yet never breaks, 
A tiny blue sigh, a brittle touch. 
 

Time bends the small things, sharp as a sigh, 
Each loop a memory that won’t let go. 
The clip’s cold curve—where my day once lay, 
And now, it echoes what I let go."
arts & sciences,TRUE,general,"
Stars chart the night’s uncertain mind, 
Data blooms where reason once did bind. 
A canvas holds the equations— 
Numbers sing a silent sonnet’s lines. 

Equations twist a brushstroke’s hue, 
Lab glass holds the sky’s uncertain blue. 
Circuits dream in chemical verse, 
A painter’s hand, a physicist’s curse. 

From atoms’ dance, a poet’s call— 
Theorems in a jazz improviser’s thrall. 
Lightning strikes the lab’s cold floor, 
As brushstrokes tremble with a conductor’s score. 

A hypothesis is painted white, 
As pigment blooms from test tube’s night. 
Quantum heart in prose unfurls— 
Doubt and wonder, science’s unceasing swirls. 

In every cell, a formula sings, 
As chords of art the world rewrites and brings. 
Through rigor’s fire and canvas’s flame, 
The arts and sciences share the same refrain. 

Arts and sciences, entwined in night, 
Refuse to split—each fuels the other’s light."
arts & sciences,TRUE,figurative,"
Brilliant patterns hum through silent glass, 
A mind’s deep question bends the math. 
Quantum whispers linger in the light— 
How reason weeps beneath the night. 

The canvas weeps in colors unconfined, 
While formulas chart the stars aligned. 
A violin’s cry dissolves in graphs— 
What longing hums behind each flash? 

Numbers hum a sorrow, cold and true, 
The painter’s hand the chaos drew. 
A question written in the starlight’s sigh— 
The answer’s shadow drifts along the sky. 

In equations, longing softly grows, 
While brushstrokes call the hidden flows. 
The artist’s grief the physicist shares— 
Two worlds entwined in silent air. 

The night repeats the morning’s quest, 
Where reason weeps and art confesses. 
Through equations and through pigment’s call— 
We search the heart of all, one and all."
arts & sciences,TRUE,specific,"
Moonlight pools on the microscope’s stage, 
A silent eye, a chemical dance. 
Glass slides remember every trace— 
Stains whisper where curiosity strays. 

Dance of atoms in a burning test, 
Electrons swirl to equations’ tune. 
Light bends, a prism cracks the sky, 
Color splintered, truth made new. 

Equations twist beneath the stars— 
Myth and logic, tangled in one frame. 
A lab notebook, ink still wet, 
Holds sorrow and the hope of fame. 

The lab’s cold hum, a midnight sigh, 
Circuits hum where heartbeats fail. 
Night bleeds science, hope, and blue— 
Moonlight pools again, unswayed."
christianity,TRUE,general,"


Steeple shadows whisper old regrets, 
Faith’s cracked mirror shows what was said. 
Hymns twist doubt like a healing net, 
Love’s chain both binds and is bled. 
 

A creed echoes in a shivering tune— 
Truth’s thorn pierces hearts I've always known. 
Martyr’s blood on marble, worn and new, 
Echoes call, but faith is overgrown. 

We kneel in hope, yet doubt the ground, 
Light flickers where the darkness broods. 
Sorrow’s hymn in every prayer— 
Silent tears in the cross’s shroud. 

 

Breath trembling between grace and guilt, 
I hear the river split its banks— 
Mourning and mercy in one lit 
Altar where the soul I am sank. 

 

O faith that claws at the edges of night, 
I wear your cross and yet run from light."
christianity,TRUE,figurative,"
Silent towers rise where hope was sown, 
Stone shadows whisper what the heart has known. 
A river bends, searching for the shore— 
Promises etched, but the current roars. 

Belief like dusk, both light and shade, 
Fading, enduring—never the same. 
Chains of ritual, a dance with pain, 
Yet hands reach upward, toward grace’s trail. 

Prayers are echoes in the hollow air, 
Dreams folded small, delivered nowhere. 
We count the hours, waiting for the dawn, 
When grace might linger, or has gone. 

Sorrow hums a hymn through midnight’s veil, 
Light flickers dimly through the midnight trial. 
In silence, grace and doubt entwine— 
The heart’s refrain: forever I’ll pine. 

But hope, a spark, refuses to die— 
It flickers still, though night is nigh."
